,Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
0,2701524240,2017-01-01,Software Engineer,Software Engineer,Java Full Stack | Remote,Full-time,Entry level,1,"['database', 'javascript', 'agile', 'linux', 'server', 'node.js', 'git', 'json', 'css', 'redis', 'java', 'aws', 'html', 'mysql', 'xml', 'sql', 'aurora', 'jquery']",United States,,,,6.0,"Cardinal Financial Company, Limited Partnership",Financial Services,"1,001-5,000 employees"
1,2719108338,2017-01-01,Data Engineer,Senior Azure Data Engineer,,Full-time,Mid-Senior level,2,"['data_lake', 'cloud', 'python', 'spark', 'github', 'warehousing', 't-sql', 'ci/cd', 'sql', 'apache', 'azure', 'scala', 'coding']",United States,,,,1.0,Brinks Home,Consumer Electronics,"1,001-5,000 employees"
2,2719503370,2017-01-01,Software Engineer,Software Engineer I,,Full-time,Entry level,5,"['mongo', 'oracle', 'microsoft', 'css', 'javascript', 'html', 'agile', 'mysql', 'coding', 'programming', 'hadoop', 'asp.net', 'sql', 'nosql', 'node', 'js', 'c']",United States,,,,16.0,Paycor,Computer Software,"1,001-5,000 employees"
3,2734877741,2017-01-01,Business Analyst,Associate Business Analyst,Telecommute,Full-time,Entry level,2,"['agile', 'excel']","Phoenix, AZ",,,,1.0,Optum,Hospital & Health Care,"10,001+ employees"
4,2752415616,2017-01-01,Developer,Swift Developer,,Contract,Mid-Senior level,4,"['excel', 'back-end', 'ios', 'swift', 'programming']","Richmond, CA",,,,,Toptal,Internet,"1,001-5,000 employees"
5,2697854773,2017-01-01,Data Engineer,Aws Data Engineer,Remote,Full-time,Mid-Senior level,6,"['data_lake', 'cloud', 'data_lakes', 'python', 'hadoop', 'devops', 'spark', 'iot', 'aws', 'pyspark', 'redshift', 'etl', 'sql', 'nosql', 'machine_learning']","Los Angeles, CA",,,,,ClearScale,Information Technology & Services,51-200 employees
6,2723260660,2017-01-01,Software Developer,Software Developer (Node.Js,React) - Remote,Full-time,Mid-Senior level,4,"['database', 'pl/sql', 'cloud', 'javascript', 'agile', 'node.js', 'git', 'scrum', 'json', 'programming', 'devops', 'microsoft', 'java', 'xml', 'nosql', 'kanban', 'go', 'azure']","Rochester, NY",,,,9.0,Ellucian,Higher Education,"1,001-5,000 employees"
7,2628572485,2017-01-01,Data Analyst,Healthcare Payer Data Analyst,,Full-time,Associate,5,"['data_lake', 'database', 'python', 'hadoop', 'ibm', 'oracle', 'microsoft', 'sql']","Charleston, SC",,,,25.0,Perficient,Information Technology & Services,"1,001-5,000 employees"
8,2748225724,2017-01-01,Data Engineer,Senior Data Engineer,,Full-time,Mid-Senior level,9,"['python', 'programming', 'etl', 'postgresql', 'linux', 'sql', 'nosql', 'go']","Baltimore, MD",,,,5.0,Medix Technology,Information Technology & Services,201-500 employees
9,2681258907,2017-01-02,Business Intelligence Analyst,Jr. Business Intelligence Analyst,,Contract,Mid-Senior level,4,"['r', 'scala', 'powershell', 'c++', 'java', 'python', 'tableau', 'sql', 'powerbi', 'c']","Raleigh, NC",71000.0,80000.0,hr,100.0,OnDemand Agility Solutions,Information Technology & Services,"1,001-5,000 employees"
