"Sale Key","City Key","Customer Key","Bill To Customer Key","Stock Item Key","Invoice Date Key","Delivery Date Key","Salesperson Key","WWI Invoice ID","Description","Package","Quantity","Unit Price","Tax Rate","Total Excluding Tax","Tax Amount","Profit","Total Including Tax","Total Dry Items","Total Chiller Items","Lineage Key"
49265,41568,0,0,204,"10/22/2013","10/23/2013",83,15189,"DBA joke mug - mind if I join you? (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
49372,48937,0,0,173,"10/22/2013","10/23/2013",83,15218,"Developer joke mug - a foo walks into a bar (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
50379,91464,0,0,174,"10/28/2013","10/29/2013",70,15525,"Developer joke mug - a foo walks into a bar (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
51852,48937,0,0,171,"11/6/2013","11/7/2013",74,15986,"Developer joke mug - this code was generated by a tool (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
52374,89925,0,0,203,"11/8/2013","11/9/2013",39,16138,"DBA joke mug - mind if I join you? (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
53463,72709,0,0,183,"11/15/2013","11/16/2013",91,16464,"Developer joke mug - when your hammer is C++ (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
53591,87633,0,0,202,"11/16/2013","11/17/2013",91,16501,"DBA joke mug - daaaaaa-ta (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
54792,77092,0,0,176,"11/22/2013","11/23/2013",91,16867,"Developer joke mug - there are 10 types of people in the world (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
55582,47692,0,0,175,"11/28/2013","11/29/2013",19,17112,"Developer joke mug - there are 10 types of people in the world (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
56531,47134,0,0,191,"12/3/2013","12/4/2013",91,17405,"DBA joke mug - two types of DBAs (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
57267,72894,0,0,188,"12/7/2013","12/8/2013",81,17632,"Developer joke mug - that's a hardware problem (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
57869,91464,0,0,169,"12/12/2013","12/13/2013",39,17823,"Developer joke mug - old C developers never die (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
57915,47692,0,0,166,"12/12/2013","12/13/2013",86,17838,"IT joke mug - that behavior is by design (White)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
58792,48937,0,0,171,"12/19/2013","12/20/2013",39,18115,"Developer joke mug - this code was generated by a tool (Black)","Each",6,"13",15,"78","11.7","51","89.7",6,0,11
49620,87481,0,0,182,"10/24/2013","10/25/2013",19,15295,"Developer joke mug - inheritance is the OO way to become wealthy (White)","Each",5,"13",15,"65","9.75","42.5","74.75",5,0,11
