Year	Decade	Century
1961	1960	1900
1962	1960	1900
1963	1960	1900
1964	1960	1900
1965	1960	1900
1966	1960	1900
1967	1960	1900
1968	1960	1900
1969	1960	1900
1970	1970	1900
1971	1970	1900
1972	1970	1900
1973	1970	1900
1974	1970	1900
1975	1970	1900
1976	1970	1900
1977	1970	1900
1978	1970	1900
1979	1970	1900
1980	1980	1900
1981	1980	1900
1982	1980	1900
1983	1980	1900
1984	1980	1900
1985	1980	1900
1986	1980	1900
1987	1980	1900
1988	1980	1900
1989	1980	1900
1990	1990	1900
1991	1990	1900
1992	1990	1900
1993	1990	1900
1994	1990	1900
1995	1990	1900
1996	1990	1900
1997	1990	1900
1998	1990	1900
1999	1990	1900
2000	2000	2000
2001	2000	2000
2002	2000	2000
2003	2000	2000
2004	2000	2000
2005	2000	2000
2006	2000	2000
2007	2000	2000
2008	2000	2000
2009	2000	2000
2010	2010	2000
2011	2010	2000
2012	2010	2000
2013	2010	2000
2014	2010	2000
2015	2010	2000
2016	2010	2000
2017	2010	2000
2018	2010	2000
2019	2010	2000
2020	2020	2000
2021	2020	2000
