"GEO_ID","NAME","NAICS","NAICS_LABEL","EAGE","EAGE_LABEL","YEAR","FIRM","ESTAB","EMP","DENOM","ESTABS_ENTRY","ESTABS_ENTRY_RATE","ESTABS_EXIT","ESTABS_EXIT_RATE","JOB_CREATION","JOB_CREATION_BIRTHS","JOB_CREATION_CONTINUERS","JOB_CREATION_RATE_BIRTHS","JOB_CREATION_RATE","JOB_DESTRUCTION","JOB_DESTRUCTION_DEATHS","JOB_DESTRUCTION_CONTINUERS","JOB_DESTRUCTION_RATE_DEATHS","JOB_DESTRUCTION_RATE","NET_JOB_CREATION","NET_JOB_CREATION_RATE","REALLOCATION_RATE","FIRMDEATH_FIRMS","FIRMDEATH_ESTABS","FIRMDEATH_EMP"
"id","Geographic Area Name","2012 NAICS Code","Meaning of NAICS code","Establishment age code","Meaning of Establishment age code","Year","Number of firms","Number of establishments","Number of employees","(DHS) denominator","Number of establishments born during the last 12 months","Rate of establishments born during the last 12 months","Number of establishments exited during the last 12 months","Rate of establishments exited during the last 12 months","Number of jobs created from expanding and opening establishments during the last 12 months","Number of jobs created from opening establishments during the last 12 months","Number of jobs created from expanding establishments during the last 12 months","Rate of jobs created from opening establishments during the last 12 months","Rate of jobs created from expanding and opening establishments during the last 12 months","Number of jobs lost from contracting and closing establishments during the last 12 months","Number of jobs lost from closing establishments during the last 12 months","Number of jobs lost from contracting establishments during the last 12 months","Rate of jobs lost from closing establishments during the last 12 months","Rate of jobs lost from contracting and closing establishments during the last 12 months","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months","Rate of reallocation during the last 12 months","Number of firms that exited during the last 12 months","Number of establishments associated with firm deaths during the last 12 months","Number of employees associated with firm deaths during the last 12 months"
"0100000US","United States","31-33","Manufacturing","001","Total","1981","270724","319525","18217604","18474014","40425","12.955","25442","8.154","2005871","760258","1245613","4.115","10.858","2518366","706121","1812245","3.822","13.632","-512495","-2.774","21.716","16098","16285","200163"
"0100000US","United States","31-33","Manufacturing","010","0 years","1981","29603","31078","626500","313250","31078","200.000","0","0.000","626500","626500","0","200.000","200.000","0","0","0","0.000","0.000","626500","200.000","0.000","0","0","0"
"0100000US","United States","31-33","Manufacturing","020","1 year","1981","20860","22110","571237","571146","0","0.000","5267","21.286","120250","0","120250","0.000","21.054","120695","51812","68883","9.072","21.132","-445","-0.078","42.108","3637","3639","24427"
"0100000US","United States","31-33","Manufacturing","030","2 years","1981","17626","18656","477791","490060","1064","5.410","3090","15.710","89716","12657","77059","2.583","18.307","113166","53215","59951","10.859","23.092","-23450","-4.785","36.614","2041","2043","23549"
"0100000US","United States","31-33","Manufacturing","040","3 years","1981","18227","19113","507369","518077","1863","9.596","2467","12.707","88631","22648","65983","4.372","17.108","110851","47495","63356","9.168","21.397","-22220","-4.289","34.215","1659","1664","16507"
"0100000US","United States","31-33","Manufacturing","050","4 years","1981","17036","18459","652877","671313","977","5.129","2157","11.323","81188","13743","67445","2.047","12.094","117781","42604","75177","6.346","17.545","-36593","-5.451","24.188","1341","1351","12929"
"0100000US","United States","31-33","Manufacturing","060","5 years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","070","6-10 years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","080","11-15 years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","090","16-20 years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","100","21-25 years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","110","26+ years","1981","0","0","0","0","0","null","0","null","0","0","0","null","null","0","0","0","null","null","0","null","null","0","0","0"
"0100000US","United States","31-33","Manufacturing","150","Left Censored","1981","176113","210109","15381830","15910168","5443","2.548","12461","5.833","1001655","84710","916945","0.532","6.296","2055839","510995","1544844","3.212","12.922","-1054184","-6.626","12.591","7482","7588","122751"
