listing_id,host_id,host_since_datekey,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighbourhood,city,latitude,longitude,property_type,accommodates,bedrooms,price,review_scores_rating,instant_bookable,listing_size_sqft
46096773,349135088,20200608,,0.26,f,5,Enclos-St-Laurent,Paris,48.87928889,2.354539193,Room in hotel,0,,0,18,f,130.5655302
44692017,361914459,20200812,,0.34,f,0,Palais-Bourbon,Paris,48.85427,2.30781,Room in boutique hotel,0,,0,88,f,286.8325852
45841514,371644174,20201012,,0.51,f,0,Murray Hill,New York,40.75092,-73.98005,Room in boutique hotel,0,,0,75,f,294.8338706
42228997,314197504,20191203,,0.33,f,0,Lower East Side,New York,40.72186,-73.99278,Room in hotel,4,,0,13,f,403.2289271
48115028,387570084,20200429,,0.64,f,0,Murray Hill,New York,40.75092,-73.98005,Room in boutique hotel,0,,0,92,f,342.7821697
43036135,312575420,20191127,,0.36,f,0,I Centro Storico,Rome,41.90964,12.4921,Room in boutique hotel,0,,0,84,f,176.903757
44567077,360655871,20200805,,0.48,f,7,Vaugirard,Paris,48.84156,2.30775,Room in boutique hotel,0,,0,91,f,259.0979283
42830099,300800542,20191007,1,0.5,f,9,SoHo,New York,40.72638,-74.00885,Room in boutique hotel,0,,0,94,f,206.0689377
47169609,381040883,20201221,,0.63,f,0,Vaugirard,Paris,48.83481991,2.285972169,Room in hotel,0,,0,86,f,369.8200533
43012893,333370800,20200204,,0.53,f,0,Vaugirard,Paris,48.84249,2.32082,Room in hotel,0,,0,86,f,155.9655377
43078515,305477475,20191030,,0.63,f,0,Elysee,Paris,48.86852,2.30004,Room in hotel,0,,0,98,f,100.1228918
48113294,387568446,20201215,,0.34,f,2,Hell's Kitchen,New York,40.76404,-73.99478,Room in hotel,4,,0,78,f,110.7041682
46652813,377087064,20201126,,0.65,f,0,Enclos-St-Laurent,Paris,48.87716364,2.359322567,Room in boutique hotel,0,,0,86,f,308.4686964
46652882,377087788,20201126,,0.34,f,0,Vaugirard,Paris,48.83335481,2.276840617,Room in boutique hotel,0,,0,97,f,249.990192
42279245,277313752,20190719,,0.26,f,3,Pantheon,Paris,48.85325,2.34578,Room in boutique hotel,3,,0,7,f,141.5949942
42384501,262458398,20190517,1,0.33,f,0,Chelsea,New York,40.74793,-73.99117,Room in boutique hotel,2,,0,75,f,224.7470992
48108671,387563261,20201223,,0.76,f,0,Lower East Side,New York,40.72186,-73.99278,Room in hotel,4,,0,92,f,226.5216715
42534842,307458732,20191106,,0.34,f,0,Luxembourg,Paris,48.85472,2.33311,Room in boutique hotel,3,,0,88,f,339.2470613
42384420,268350191,20190613,,0.51,f,9,I Centro Storico,Rome,41.8937,12.48806,Room in boutique hotel,4,,0,54,f,290.1691519
43247631,318788301,20191218,,0.54,f,0,Hell's Kitchen,New York,40.76175,-73.9882,Room in hotel,0,,0,88,f,83.3442237
45325001,366359255,20200907,,0.42,f,5,Batignolles-Monceau,Paris,48.88378,2.31848,Room in boutique hotel,0,,0,90,f,332.5949643
42065547,308721299,20191111,,0.42,f,2,Hell's Kitchen,New York,40.76404,-73.99478,Room in hotel,4,,0,81,f,236.5680674
42065564,314151200,20191203,0.8,0.77,f,8,Financial District,New York,40.70462,-74.01027,Room in hotel,5,,0,75,f,193.5042388
36694697,275799949,20190713,1,0.53,f,0,Opera,Paris,48.87811,2.342,Entire apartment,2,,9,86,f,247.5654797
45485378,367724384,20200915,0.5,0.83,f,0,Harlem,New York,40.81975,-73.95566,Private room in apartment,2,,10,46,f,207.2284918
37675534,284725137,20190811,,0.49,f,0,Menilmontant,Paris,48.8721,2.39493,Entire apartment,6,3,10,94,f,238.0108571
45888844,371006645,20201007,1,0.32,f,0,VIII Appia Antica,Rome,41.87231,12.48043,Shared room in apartment,1,1,10,91,t,323.8960551
41307669,324536104,20200105,,0.64,f,1,IV Tiburtina,Rome,41.89784,12.53857,Entire apartment,1,1,11,53,t,285.7386333
34226790,253838909,20190407,1,0.31,f,6,VIII Appia Antica,Rome,41.85216,12.47999,Shared room in guest suite,1,1,11,90,f,139.5714939
39023953,247050783,20190305,1,0.33,f,8,XV Cassia/Flaminia,Rome,42.08349,12.34837,Private room in apartment,2,1,11,83,f,253.919643
38340397,291238628,20190903,1,0.63,f,12,I Centro Storico,Rome,41.90409,12.49987,Room in bed and breakfast,5,1,12,92,t,309.5010164
46540298,349682810,20200611,0.12,0.38,f,0,Enclos-St-Laurent,Paris,48.8796,2.36293,Entire apartment,1,1,12,79,f,279.9228333
37573610,281357894,20190801,1,0.6,f,8,XII Monte Verde,Rome,41.87787,12.46566,Room in hostel,1,1,12,89,t,439.0241544
37573478,281357894,20190801,1,0.51,f,8,XII Monte Verde,Rome,41.87751,12.46696,Room in hostel,1,1,12,90,t,344.3194914
46955414,239712603,20190129,1,0.6,f,3,Passy,Paris,48.85851,2.28648,Entire apartment,5,2,12,81,f,424.0255201
42030992,253054890,20190403,,0.28,f,0,II Parioli/Nomentano,Rome,41.89521,12.51265,Shared room in townhouse,1,1,12,38,t,454.9200248
40850252,313694923,20191202,1,0.37,f,4,XII Monte Verde,Rome,41.87562,12.46933,Shared room in hostel,1,1,13,67,t,113.7365605
40850231,313694923,20191202,1,0.69,f,4,XII Monte Verde,Rome,41.87408,12.46956,Shared room in hostel,1,1,13,60,t,206.1038184
40767288,239692990,20190129,1,0.49,f,5,I Centro Storico,Rome,41.90443,12.50059,Shared room in bed and breakfast,4,1,13,80,t,204.1855184
40252371,310685197,20191119,0.33,0.59,f,3,I Centro Storico,Rome,41.90428,12.50137,Shared room in hostel,1,1,14,79,t,261.7259922
38475824,292201077,20190905,0.8,0.64,f,3,Louvre,Paris,48.8641,2.33271,Entire apartment,1,1,14,85,t,143.4975026
34946165,259861390,20190504,1,0.93,f,2,Ryde,Sydney,-33.77901,151.1034,Private room in villa,1,1,14,73,t,142.0601643
48114416,387565741,20200827,1,0.54,f,2,Ryde,Sydney,-33.77901,151.1034,Private room in villa,1,1,14,73,t,250.5396985
39026032,247050783,20190305,1,0.53,f,8,XV Cassia/Flaminia,Rome,42.0837,12.34808,Private room in apartment,3,1,14,52,f,199.5954447
47764123,384925909,20210117,1,0.4,f,1,VII San Giovanni/Cinecitta,Rome,41.88467,12.50718,Private room in condominium,2,1,14,79,f,156.5711964
34202318,257941883,20190425,1,0.39,t,17,I Centro Storico,Rome,41.89125,12.50859,Room in hostel,1,1,14,93,t,245.8720286
44904536,362803923,20200816,1,0.38,f,5,I Centro Storico,Rome,41.89614,12.50454,Private room in apartment,1,1,15,18,t,289.9077013
39086039,297303911,20190923,0.9,0.63,f,2,XIV Monte Mario,Rome,41.94502,12.42301,Private room in apartment,3,3,15,87,f,214.5058439
31934465,235391429,20190109,0,0.54,f,9,XII Monte Verde,Rome,41.87547,12.46605,Shared room in serviced apartment,4,1,15,89,t,257.5097582
43973982,284293769,20190809,0,0.49,f,0,II Parioli/Nomentano,Rome,41.9124,12.51901,Private room in apartment,1,1,16,60,t,403.6840563
41099798,295430757,20190916,0.4,0.68,f,0,III Monte Sacro,Rome,41.94166,12.54955,Private room in apartment,4,1,16,46,t,137.4135098
34012841,248463952,20190312,,0.52,f,1,VI Roma delle Torri,Rome,41.86274,12.58146,Private room in condominium,1,1,16,82,t,361.9535184
32213009,240474894,20190201,0.95,0.32,f,3,I Centro Storico,Rome,41.90692,12.5011,Private room in apartment,4,1,16,86,t,130.8949667
32357565,240474894,20190201,0.95,0.61,f,3,I Centro Storico,Rome,41.90692,12.5011,Private room in apartment,3,1,17,91,t,275.434183
42784401,340750256,20200308,,0.94,f,0,Bay Ridge,New York,40.62501,-74.02032,Shared room in house,1,1,17,83,f,402.7084697
45799127,371285053,20201009,0.9,0.29,f,2,III Monte Sacro,Rome,41.94544,12.53783,Private room in condominium,2,2,17,100,f,424.6918312
48107968,387566835,20200901,,0.44,f,0,Bay Ridge,New York,40.62501,-74.02032,Shared room in house,1,1,17,82,f,227.9844463
46408341,373362061,20201026,1,0.66,f,3,I Centro Storico,Rome,41.89764,12.50383,Private room in apartment,1,1,18,90,f,582.6187862
36768012,268938178,20190616,,0.48,f,4,I Centro Storico,Rome,41.89329,12.50886,Shared room in apartment,3,1,18,93,t,142.6283953
36800298,268938178,20190616,,0.4,f,4,I Centro Storico,Rome,41.89484,12.5089,Shared room in apartment,2,1,18,92,t,183.2113503
40434373,310887232,20191120,1,0.3,t,10,I Centro Storico,Rome,41.90319,12.50459,Shared room in hostel,1,1,18,97,t,161.8770067
39464938,272933938,20190702,,0.56,f,0,II Parioli/Nomentano,Rome,41.89566,12.51492,Private room in apartment,2,1,18,70,t,282.7352507
35775041,268938178,20190616,,0.3,f,4,I Centro Storico,Rome,41.89309,12.50883,Shared room in apartment,2,1,18,87,t,206.0441035
42784623,340750256,20200308,,0.7,f,0,Bay Ridge,New York,40.62395,-74.01928,Shared room in house,1,1,18,19,f,678.9164769
35751827,268938178,20190616,,0.49,f,4,I Centro Storico,Rome,41.89491,12.50895,Shared room in apartment,3,1,18,93,t,555.4045214
48115805,387565646,20200721,,0.92,f,0,Bay Ridge,New York,40.62395,-74.01928,Shared room in house,1,1,18,91,f,327.4882459
37858492,286726934,20190817,0.33,0.63,f,1,XIV Monte Mario,Rome,41.93749,12.42371,Private room in condominium,1,1,18,58,f,414.9020033
42987326,334163301,20200206,1,0.38,f,110,Elmhurst,New York,40.73894,-73.87571,Private room in townhouse,1,1,19,36,f,643.1819813
34202067,257941883,20190425,1,0.68,t,17,I Centro Storico,Rome,41.89162,12.51075,Room in hostel,1,1,19,92,t,443.9066028
31870437,238864514,20190125,,0.27,f,1,I Centro Storico,Rome,41.90458,12.50099,Private room in apartment,2,1,19,52,t,116.411746
40378515,312112489,20191125,,0.75,f,0,Auburn,Sydney,-33.84533,151.02934,Private room in house,1,1,19,44,f,195.8020088
45982569,370550979,20201004,0.42,0.28,f,20,Buttes-Chaumont,Paris,48.88893,2.37658,Shared room in bed and breakfast,6,1,19,82,f,166.8966411
41260385,323966917,20200103,,0.61,f,2,IV Tiburtina,Rome,41.898,12.53682,Private room in apartment,1,,20,13,f,302.0743915
38459531,262383677,20190517,0.9,0.32,f,21,Botany Bay,Sydney,-33.9476,151.19761,Private room in loft,1,4,20,93,f,377.5457158
38102675,281169762,20190731,1,0.3,f,0,IV Tiburtina,Rome,41.91032,12.54543,Private room in condominium,2,1,20,78,f,105.5783633
36276704,272835934,20190701,,0.54,f,1,VII San Giovanni/Cinecitta,Rome,41.85572,12.56171,Private room in house,2,1,20,10,f,190.3123846
47796431,328545364,20200117,1,0.6,f,3,Gravesend,New York,40.58642,-73.97198,Shared room in apartment,1,1,20,32,f,230.1205651
46336745,371285053,20201009,0.9,0.57,f,2,III Monte Sacro,Rome,41.94464,12.53578,Private room in condominium,2,1,20,36,f,570.3038029
34223002,253839425,20190407,,0.74,f,1,Observatoire,Paris,48.83488,2.3167,Entire apartment,2,1,20,70,f,219.0524548
34427707,257771999,20190424,,0.72,f,1,Sydney,Sydney,-33.88092,151.19811,Shared room in apartment,1,1,20,92,f,225.7931287
41438821,320960348,20191225,,0.83,f,1,Sydney,Sydney,-33.88173,151.21641,Shared room in townhouse,1,1,20,81,t,407.5839604
34847999,262719722,20190519,0.5,0.44,f,2,VII San Giovanni/Cinecitta,Rome,41.88161,12.52771,Private room in condominium,2,1,20,95,f,353.4507558
40509329,313618179,20191201,1,0.61,f,1,I Centro Storico,Rome,41.89716,12.50413,Private room in bed and breakfast,2,1,20,41,f,729.8149568
46496253,373362061,20201026,1,0.26,f,3,I Centro Storico,Rome,41.89604,12.50589,Private room in apartment,1,1,20,48,f,601.386198
48115844,387566420,20201103,,0.87,f,1,Sydney,Sydney,-33.88092,151.19811,Shared room in apartment,1,1,20,81,f,245.1749264
39377676,302459887,20191015,,0.54,f,2,X Ostia/Acilia,Rome,41.7303,12.28838,Private room in guest suite,2,1,20,80,t,176.1179034
