,transaction,items,day_time,day_type,date,sales
0,1,Bread,Morning,Weekend,2016-10-30,1.4
3,3,Hot chocolate,Morning,Weekend,2016-10-30,1.9
4,3,Cookies,Morning,Weekend,2016-10-30,1.25
5,4,Muffin,Morning,Weekend,2016-10-30,2.3
6,5,Coffee,Morning,Weekend,2016-10-30,2.2
7,5,Pastry,Morning,Weekend,2016-10-30,2.2
8,5,Bread,Morning,Weekend,2016-10-30,1.4
9,6,Croissant,Morning,Weekend,2016-10-30,1.6
10,6,Pastry,Morning,Weekend,2016-10-30,2.2
11,6,Muffin,Morning,Weekend,2016-10-30,2.3
12,7,Croissant,Morning,Weekend,2016-10-30,1.6
13,7,Pastry,Morning,Weekend,2016-10-30,2.2
14,7,Coffee,Morning,Weekend,2016-10-30,2.2
15,7,Tea,Morning,Weekend,2016-10-30,1.2
16,8,Pastry,Morning,Weekend,2016-10-30,2.2
17,8,Bread,Morning,Weekend,2016-10-30,1.4
18,9,Bread,Morning,Weekend,2016-10-30,1.4
19,9,Muffin,Morning,Weekend,2016-10-30,2.3
21,10,Croissant,Morning,Weekend,2016-10-30,1.6
22,11,Bread,Morning,Weekend,2016-10-30,1.4
23,11,Croissant,Morning,Weekend,2016-10-30,1.6
24,11,Bread,Morning,Weekend,2016-10-30,1.4
25,12,Coffee,Morning,Weekend,2016-10-30,2.2
26,12,Pastry,Morning,Weekend,2016-10-30,2.2
27,12,Tea,Morning,Weekend,2016-10-30,1.2
28,13,Bread,Morning,Weekend,2016-10-30,1.4
29,13,Coffee,Morning,Weekend,2016-10-30,2.2
30,14,Bread,Morning,Weekend,2016-10-30,1.4
31,14,Croissant,Morning,Weekend,2016-10-30,1.6
32,14,Pastry,Morning,Weekend,2016-10-30,2.2
34,16,Bread,Morning,Weekend,2016-10-30,1.4
35,16,Croissant,Morning,Weekend,2016-10-30,1.6
36,16,Coffee,Morning,Weekend,2016-10-30,2.2
37,17,Hot chocolate,Morning,Weekend,2016-10-30,1.9
38,18,Farm House,Morning,Weekend,2016-10-30,2.9
39,19,Farm House,Morning,Weekend,2016-10-30,2.9
40,19,Bread,Morning,Weekend,2016-10-30,1.4
41,20,Bread,Morning,Weekend,2016-10-30,1.4
42,20,Croissant,Morning,Weekend,2016-10-30,1.6
43,21,Coffee,Morning,Weekend,2016-10-30,2.2
44,21,Coffee,Morning,Weekend,2016-10-30,2.2
45,21,Croissant,Morning,Weekend,2016-10-30,1.6
46,21,Bread,Morning,Weekend,2016-10-30,1.4
48,23,Muffin,Morning,Weekend,2016-10-30,2.3
49,24,Bread,Morning,Weekend,2016-10-30,1.4
52,28,Coffee,Morning,Weekend,2016-10-30,2.2
53,28,Bread,Morning,Weekend,2016-10-30,1.4
54,29,Bread,Morning,Weekend,2016-10-30,1.4
55,30,Bread,Morning,Weekend,2016-10-30,1.4
57,32,Muffin,Morning,Weekend,2016-10-30,2.3
58,33,Coffee,Morning,Weekend,2016-10-30,2.2
59,34,Coffee,Morning,Weekend,2016-10-30,2.2
60,34,Muffin,Morning,Weekend,2016-10-30,2.3
