,rooms,type,price,date,distance,bedrooms,bathrooms,car,land_area,building_area,year_built,council_area,region
0,2,h,1480000.0,3/12/2016,2.5,2.0,1.0,1.0,202.0,,,Yarra,Northern
1,2,h,1035000.0,4/02/2016,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Northern
2,3,h,1465000.0,4/03/2017,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Northern
3,3,h,850000.0,4/03/2017,2.5,3.0,2.0,1.0,94.0,,,Yarra,Northern
4,4,h,1600000.0,4/06/2016,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Northern
5,2,h,941000.0,7/05/2016,2.5,2.0,1.0,0.0,181.0,,,Yarra,Northern
6,3,h,1876000.0,7/05/2016,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Northern
7,2,h,1636000.0,8/10/2016,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Northern
8,1,u,300000.0,8/10/2016,2.5,1.0,1.0,1.0,0.0,,,Yarra,Northern
9,2,h,1097000.0,8/10/2016,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Northern
10,2,u,700000.0,12/11/2016,2.5,2.0,2.0,1.0,0.0,,,Yarra,Northern
11,3,h,1350000.0,12/11/2016,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Northern
12,2,u,750000.0,12/11/2016,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,Northern
13,2,h,1172500.0,13/08/2016,2.5,2.0,1.0,1.0,195.0,,,Yarra,Northern
14,1,u,441000.0,14/05/2016,2.5,1.0,1.0,1.0,0.0,,,Yarra,Northern
15,2,h,1310000.0,15/10/2016,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Northern
16,3,h,1200000.0,16/07/2016,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Northern
17,3,h,1176500.0,16/07/2016,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Northern
18,3,h,955000.0,17/09/2016,2.5,3.0,1.0,0.0,183.0,,,Yarra,Northern
19,2,h,890000.0,17/09/2016,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Northern
20,4,h,1330000.0,18/03/2017,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,Northern
21,3,t,900000.0,18/03/2017,2.5,3.0,2.0,2.0,0.0,,2010.0,Yarra,Northern
22,3,u,1090000.0,18/03/2017,2.5,3.0,2.0,2.0,4290.0,27.0,,Yarra,Northern
23,2,u,500000.0,18/06/2016,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,Northern
24,2,h,1100000.0,18/06/2016,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,Northern
25,2,h,1315000.0,19/11/2016,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,Northern
26,1,u,426000.0,22/08/2016,2.5,1.0,1.0,1.0,0.0,,,Yarra,Northern
27,3,h,1447500.0,22/08/2016,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,Northern
28,1,u,457000.0,22/08/2016,2.5,1.0,1.0,1.0,0.0,50.0,,Yarra,Northern
29,2,h,1135000.0,22/08/2016,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,Northern
30,4,h,1542000.0,24/09/2016,2.5,4.0,3.0,1.0,0.0,,,Yarra,Northern
31,3,h,1290000.0,25/02/2017,2.5,3.0,2.0,2.0,147.0,18.0,,Yarra,Northern
32,3,h,1290000.0,25/02/2017,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,Northern
33,1,u,470000.0,26/07/2016,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,Northern
34,2,h,1180000.0,27/11/2016,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,Northern
35,3,h,1195000.0,27/11/2016,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,Northern
36,2,h,1012500.0,28/05/2016,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,Northern
37,2,h,1030000.0,30/07/2016,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,Northern
38,3,t,840000.0,3/09/2016,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,Western
39,3,h,730000.0,3/12/2016,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western
40,3,h,770000.0,4/03/2017,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western
41,2,h,603000.0,4/03/2017,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,Western
42,3,t,700000.0,4/03/2017,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,Western
43,3,h,600000.0,4/03/2017,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,Western
44,2,u,500000.0,4/03/2017,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,Western
45,3,h,720000.0,6/08/2016,13.5,2.0,1.0,1.0,620.0,,,Moonee Valley,Western
46,4,h,785000.0,6/08/2016,13.5,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,Western
47,6,h,725000.0,7/05/2016,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,Western
48,2,t,450000.0,7/05/2016,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,Western
49,2,u,515000.0,7/11/2016,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,Western
50,2,u,530000.0,10/09/2016,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,Western
51,3,h,895000.0,10/09/2016,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,Western
52,3,h,805000.0,10/12/2016,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,Western
53,3,u,752000.0,11/02/2017,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,Western
54,2,u,440000.0,13/08/2016,13.5,2.0,1.0,1.0,192.0,,,Moonee Valley,Western
55,5,h,755000.0,14/05/2016,13.5,3.0,2.0,2.0,596.0,,,Moonee Valley,Western
56,3,t,700000.0,15/10/2016,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,Western
57,3,h,830000.0,16/04/2016,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,Western
58,2,u,462500.0,16/07/2016,13.5,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,Western
59,3,h,670000.0,16/07/2016,13.5,3.0,2.0,2.0,657.0,,,Moonee Valley,Western
60,2,h,675000.0,16/07/2016,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,Western
61,3,h,1042000.0,16/07/2016,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,Western
62,3,h,910000.0,17/09/2016,13.5,3.0,1.0,1.0,775.0,,,Moonee Valley,Western
63,4,h,773000.0,17/09/2016,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,Western
64,3,h,810000.0,18/03/2017,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,Western
65,3,h,715000.0,18/03/2017,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,Western
66,3,h,790000.0,18/03/2017,13.5,3.0,1.0,3.0,614.0,,,Moonee Valley,Western
67,3,t,540000.0,18/06/2016,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,Western
68,3,t,825000.0,19/11/2016,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,Western
69,3,h,685000.0,22/05/2016,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,Western
70,3,h,805000.0,22/08/2016,13.5,3.0,1.0,1.0,623.0,,,Moonee Valley,Western
71,2,u,510000.0,22/08/2016,13.5,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,Western
72,3,h,612000.0,22/08/2016,13.5,3.0,2.0,1.0,212.0,,,Moonee Valley,Western
73,3,h,662000.0,23/04/2016,13.5,3.0,1.0,2.0,612.0,,,Moonee Valley,Western
74,4,h,978000.0,24/09/2016,13.5,4.0,3.0,2.0,532.0,,,Moonee Valley,Western
75,3,h,720000.0,25/02/2017,13.5,3.0,1.0,1.0,585.0,,,Moonee Valley,Western
76,4,h,765000.0,27/11/2016,13.5,4.0,1.0,2.0,509.0,,,Moonee Valley,Western
