player,position,minutes,field_goal_perc,three_point_perc,free_throw_perc,rebounds,assists,steals,blocks,points,team,conference,scorer_category
Russell Westbrook,PG,34.6,0.425,0.343,0.845,10.7,10.4,1.6,0.4,31.6,OKC,West,High Scorer
James Harden,PG,36.4,0.44,0.347,0.847,8.1,11.2,1.5,0.5,29.1,HOU,West,High Scorer
Isaiah Thomas,PG,33.8,0.463,0.379,0.909,2.7,5.9,0.9,0.2,28.9,BOS,East,High Scorer
Anthony Davis,C,36.1,0.505,0.299,0.802,11.8,2.1,1.3,2.2,28.0,NO,West,High Scorer
DeMar DeRozan,SG,35.4,0.467,0.266,0.8420000000000001,5.2,3.9,1.1,0.2,27.3,TOR,East,High Scorer
DeMarcus Cousins,C,34.2,0.452,0.361,0.772,11.0,4.6,1.4,1.3,27.0,NO/SAC,West,High Scorer
Damian Lillard,PG,35.9,0.444,0.37,0.895,4.9,5.9,0.9,0.3,27.0,POR,West,High Scorer
LeBron James,SF,37.8,0.5479999999999999,0.363,0.674,8.6,8.7,1.2,0.6,26.4,CLE,East,High Scorer
Kawhi Leonard,SF,33.4,0.485,0.38,0.88,5.8,3.5,1.8,0.7,25.5,SA,West,High Scorer
Stephen Curry,PG,33.4,0.468,0.411,0.898,4.5,6.6,1.8,0.2,25.3,GS,West,High Scorer
Kyrie Irving,PG,35.1,0.473,0.401,0.905,3.2,5.8,1.2,0.3,25.2,CLE,East,High Scorer
Kevin Durant,SF,33.4,0.537,0.375,0.875,8.3,4.8,1.1,1.6,25.1,GS,West,High Scorer
Karl-Anthony Towns,C,37.0,0.542,0.3670000000000001,0.8320000000000001,12.3,2.7,0.7,1.3,25.1,MIN,West,High Scorer
Jimmy Butler,SF,37.0,0.455,0.3670000000000001,0.865,6.2,5.5,1.9,0.4,23.9,CHI,East,High Scorer
Paul George,SF,35.9,0.461,0.393,0.898,6.6,3.3,1.6,0.4,23.7,IND,East,High Scorer
Andrew Wiggins,SF,37.2,0.452,0.356,0.76,4.0,2.3,1.0,0.4,23.6,MIN,West,High Scorer
Kemba Walker,PG,34.7,0.444,0.399,0.847,3.9,5.5,1.1,0.3,23.2,CHA,East,High Scorer
Bradley Beal,SG,34.9,0.482,0.404,0.825,3.1,3.5,1.1,0.3,23.1,WSH,East,High Scorer
John Wall,PG,36.4,0.451,0.327,0.8009999999999999,4.2,10.7,2.0,0.6,23.1,WSH,East,High Scorer
Giannis Antetokounmpo,SF,35.6,0.521,0.272,0.77,8.8,5.4,1.6,1.9,22.9,MIL,East,High Scorer
Carmelo Anthony,SF,34.3,0.433,0.359,0.833,5.9,2.9,0.8,0.5,22.4,NY,East,High Scorer
Kyle Lowry,PG,37.4,0.464,0.412,0.8190000000000001,4.8,7.0,1.5,0.3,22.4,TOR,East,High Scorer
Klay Thompson,SG,34.0,0.468,0.414,0.853,3.7,2.1,0.8,0.5,22.3,GS,West,High Scorer
Devin Booker,SG,35.0,0.423,0.363,0.8320000000000001,3.2,3.4,0.9,0.3,22.1,PHX,West,High Scorer
Gordon Hayward,SF,34.5,0.471,0.398,0.8440000000000001,5.4,3.5,1.0,0.3,21.9,UTAH,West,High Scorer
Blake Griffin,PF,34.0,0.493,0.336,0.76,8.1,4.9,0.9,0.4,21.6,LAC,West,High Scorer
Eric Bledsoe,PG,33.0,0.434,0.335,0.847,4.8,6.3,1.4,0.5,21.1,PHX,West,High Scorer
Mike Conley,PG,33.2,0.46,0.408,0.8590000000000001,3.5,6.3,1.3,0.3,20.5,MEM,West,High Scorer
Brook Lopez,C,29.6,0.474,0.346,0.81,5.4,2.3,0.5,1.7,20.5,BKN,East,High Scorer
Goran Dragic,PG,33.7,0.475,0.405,0.79,3.8,5.8,1.2,0.2,20.3,MIA,East,High Scorer
Joel Embiid,C,25.4,0.466,0.3670000000000001,0.7829999999999999,7.8,2.1,0.9,2.5,20.2,PHI,East,High Scorer
Jabari Parker,PF,33.9,0.49,0.365,0.743,6.2,2.8,1.0,0.4,20.1,MIL,East,High Scorer
Marc Gasol,C,34.2,0.459,0.388,0.8370000000000001,6.3,4.6,0.9,1.3,19.5,MEM,West,Average Scorer
Harrison Barnes,PF,35.5,0.468,0.351,0.861,5.0,1.5,0.8,0.2,19.2,DAL,West,Average Scorer
Kevin Love,PF,31.4,0.4270000000000001,0.373,0.871,11.1,1.9,0.9,0.4,19.0,CLE,East,Average Scorer
Zach LaVine,SG,37.2,0.459,0.387,0.836,3.4,3.0,0.9,0.2,18.9,MIN,West,Average Scorer
Rudy Gay,SF,33.8,0.455,0.3720000000000001,0.855,6.3,2.8,1.5,0.9,18.7,SAC,West,Average Scorer
Dwyane Wade,SG,29.9,0.434,0.31,0.794,4.5,3.8,1.4,0.7,18.3,CHI,East,Average Scorer
Danilo Gallinari,SF,33.9,0.447,0.389,0.902,5.2,2.1,0.6,0.2,18.2,DEN,West,Average Scorer
Paul Millsap,PF,34.0,0.442,0.311,0.768,7.7,3.7,1.3,0.9,18.1,ATL,East,Average Scorer
Chris Paul,PG,31.5,0.476,0.411,0.892,5.0,9.2,2.0,0.1,18.1,LAC,West,Average Scorer
Kristaps Porzingis,PF,32.8,0.45,0.357,0.7859999999999999,7.2,1.5,0.7,2.0,18.1,NY,East,Average Scorer
Derrick Rose,PG,32.5,0.471,0.217,0.8740000000000001,3.8,4.4,0.7,0.3,18.0,NY,East,Average Scorer
