GEO_ID,NAME,NAICS,NAICS_LABEL,EAGE,EAGE_LABEL,YEAR,FIRM,ESTAB,EMP,ESTABS_ENTRY,ESTABS_ENTRY_RATE,ESTABS_EXIT,ESTABS_EXIT_RATE,NET_JOB_CREATION,NET_JOB_CREATION_RATE,REALLOCATION_RATE,FIRMDEATH_FIRMS,FIRMDEATH_ESTABS,FIRMDEATH_EMP
id,Geographic Area Name,2012 NAICS Code,Meaning of NAICS code,Establishment age code,Meaning of Establishment age code,Year,Number of firms,Number of establishments,Number of employees,Number of establishments born during the last 12 months,Rate of establishments born during the last 12 months,Number of establishments exited during the last 12 months,Rate of establishments exited during the last 12 months,Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months,Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months,Rate of reallocation during the last 12 months,Number of firms that exited during the last 12 months,Number of establishments associated with firm deaths during the last 12 months,Number of employees associated with firm deaths during the last 12 months
0100000US,United States,31-33,Manufacturing,1,Total,1978,262447,309140,18118738,34851,11.394,28289,9.249,844160,4.77,19.412,19107,19255,225619
0100000US,United States,31-33,Manufacturing,1,Total,1979,255685,302989,18901965,31115,10.229,33510,11.016,760989,4.108,19.755,19503,19689,223738
0100000US,United States,31-33,Manufacturing,1,Total,1980,255012,303608,18745186,31566,10.412,30687,10.122,-114545,-0.609,23.518,20796,21005,258463
0100000US,United States,31-33,Manufacturing,1,Total,1981,270724,319525,18217604,40425,12.955,25442,8.154,-512495,-2.774,21.716,16098,16285,200163
0100000US,United States,31-33,Manufacturing,1,Total,1982,271895,320897,17478675,30855,9.622,30404,9.481,-785091,-4.393,20.908,21299,21469,223998
0100000US,United States,31-33,Manufacturing,1,Total,1983,272876,320871,16278683,30365,9.465,30275,9.437,-1241810,-7.348,20.043,21087,21275,253212
0100000US,United States,31-33,Manufacturing,1,Total,1984,274067,321880,17380723,30331,9.444,28916,9.003,1069724,6.35,19.07,21047,21223,216039
0100000US,United States,31-33,Manufacturing,1,Total,1985,282402,329831,17440468,39765,12.211,31389,9.639,71794,0.412,25.787,22768,22968,334557
0100000US,United States,31-33,Manufacturing,1,Total,1986,281621,328891,16991715,34124,10.386,33439,10.178,-241955,-1.414,24.76,24109,24304,300705
0100000US,United States,31-33,Manufacturing,1,Total,1987,282101,328603,16628758,34938,10.64,34439,10.488,-359110,-2.137,23.685,23877,24132,309395
0100000US,United States,31-33,Manufacturing,1,Total,1988,288204,335732,17128298,36593,10.986,31286,9.393,344795,2.034,24.047,22762,22966,305417
0100000US,United States,31-33,Manufacturing,1,Total,1989,291626,339124,17352837,35276,10.455,31821,9.431,267825,1.555,22.737,23078,23339,284024
0100000US,United States,31-33,Manufacturing,1,Total,1990,293873,341704,17081635,33808,9.936,30900,9.082,-273196,-1.587,20.929,23303,23504,265615
0100000US,United States,31-33,Manufacturing,1,Total,1991,294523,341921,16099387,29948,8.709,33860,9.847,-982927,-5.924,18.052,25169,25484,424166
0100000US,United States,31-33,Manufacturing,1,Total,1992,286929,333232,15893415,27866,8.301,32790,9.768,-204441,-1.278,21.308,23915,24087,251062
0100000US,United States,31-33,Manufacturing,1,Total,1993,289102,334916,15903383,30036,8.985,28765,8.605,93,0.001,21.825,21299,21520,218344
0100000US,United States,31-33,Manufacturing,1,Total,1994,291221,337397,16076631,30364,9.023,28620,8.505,75050,0.468,21.48,21522,21731,242465
0100000US,United States,31-33,Manufacturing,1,Total,1995,293001,339281,16497873,30375,8.993,27315,8.087,485337,2.985,17.872,20870,20997,213344
0100000US,United States,31-33,Manufacturing,1,Total,1996,292240,338408,16134500,28635,8.465,28370,8.387,-235312,-1.448,19.62,21533,21769,248465
0100000US,United States,31-33,Manufacturing,1,Total,1997,292545,337948,16361886,28275,8.354,29288,8.653,157809,0.969,20.548,21763,21968,252646
0100000US,United States,31-33,Manufacturing,1,Total,1998,294325,340671,16711134,27760,8.163,26525,7.8,231734,1.396,19.482,19268,19472,215320
0100000US,United States,31-33,Manufacturing,1,Total,1999,290178,337124,16460120,24731,7.3,28067,8.284,-251791,-1.518,19.732,20379,20584,248171
0100000US,United States,31-33,Manufacturing,1,Total,2000,285603,332845,16373179,24169,7.222,27782,8.302,-76209,-0.464,21.683,19960,20186,225301
0100000US,United States,31-33,Manufacturing,1,Total,2001,284859,332190,15901839,24042,7.197,27784,8.317,-520470,-3.22,18.631,19907,20145,247074
0100000US,United States,31-33,Manufacturing,1,Total,2002,282948,329782,14523927,24236,7.252,33051,9.89,-1606234,-10.48,16.861,22917,23349,394507
0100000US,United States,31-33,Manufacturing,1,Total,2003,276616,322342,14048766,22060,6.771,28976,8.894,-475447,-3.328,19.03,20605,20859,223187
0100000US,United States,31-33,Manufacturing,1,Total,2004,273530,318476,13722079,22185,6.917,26717,8.33,-299328,-2.158,19.014,19159,19370,206116
0100000US,United States,31-33,Manufacturing,1,Total,2005,269305,313809,13650122,22137,7.014,25782,8.168,-30770,-0.225,20.399,18797,18978,196552
0100000US,United States,31-33,Manufacturing,1,Total,2006,268640,313572,13611611,25088,7.988,26083,8.305,14367,0.106,20.138,19809,19971,194870
0100000US,United States,31-33,Manufacturing,1,Total,2007,269146,313934,13337202,21767,6.902,24650,7.816,-294389,-2.184,18.51,17569,17765,195361
0100000US,United States,31-33,Manufacturing,1,Total,2008,260613,304221,12920822,19123,6.228,24799,8.076,-316068,-2.417,17.488,18236,18409,192701
0100000US,United States,31-33,Manufacturing,1,Total,2009,250392,292784,11559307,16499,5.525,28185,9.438,-1363608,-11.141,13.104,19857,20052,196507
0100000US,United States,31-33,Manufacturing,1,Total,2010,241529,282700,10829797,16326,5.674,26369,9.165,-702330,-6.281,14.799,18105,18241,152049
0100000US,United States,31-33,Manufacturing,1,Total,2011,238562,279265,10926328,17950,6.385,21706,7.721,138266,1.273,17.053,15406,15571,125650
0100000US,United States,31-33,Manufacturing,1,Total,2012,239601,280127,11159235,18168,6.473,19303,6.877,191521,1.731,16.177,13435,13576,128847
0100000US,United States,31-33,Manufacturing,1,Total,2013,235157,275190,11214938,16866,6.104,19150,6.93,85078,0.762,16.216,13645,13765,125657
0100000US,United States,31-33,Manufacturing,1,Total,2014,235435,275989,11347152,17551,6.353,18060,6.538,130389,1.156,16.104,13231,13320,117974
0100000US,United States,31-33,Manufacturing,1,Total,2015,234928,276196,11539467,18086,6.55,17973,6.509,202214,1.768,15.261,13451,13546,121532
0100000US,United States,31-33,Manufacturing,1,Total,2016,234204,276174,11536552,18019,6.524,18063,6.54,2652,0.023,16.731,13820,13929,122071
0100000US,United States,31-33,Manufacturing,1,Total,2017,232123,274795,11668574,17643,6.401,19320,7.009,110484,0.951,17.153,14403,14561,150351
