GEO_ID,NAME,GEO_ID_F,NAICS2017,INDGROUP,NAICS2017_F,NAICS2017_LABEL,SECTOR,SUBSECTOR,INDLEVEL,YEAR,RCPTOT,RCPTOT_S,PAYANN,PAYQTR1,EMP,EMPQ1PW,PAYANN_IMP,EMP_IMP
id,Geographic Area Name,Geo Footnote,2017 NAICS code,Industry group,2017 NAICS Footnote,Meaning of NAICS code,NAICS economic sector ,SUBSECTOR,Industry level,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Production workers for pay period including March 12,Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0100000US,United States,null,31-33,null,null,Manufacturing,31,null,2,2018,5890662939,0.1,692979103,175598627,11633292,8323367,20% to less than 30%,40% to less than 50%
0100000US,United States,null,31-33,null,null,Manufacturing,31,null,2,2019,5731187355,0.1,699745812,179287080,11507413,8247614,30% to less than 40%,40% to less than 50%
0100000US,United States,null,311,null,null,Food manufacturing,31,311,3,2018,784628928,0.1,68773595,16846104,1494203,1212451,30% to less than 40%,40% to less than 50%
0100000US,United States,null,311,null,null,Food manufacturing,31,311,3,2019,794130354,0.2,70070750,17385762,1487229,1208056,30% to less than 40%,40% to less than 50%
0100000US,United States,null,3111,3111,null,Animal food manufacturing,31,311,4,2018,57501604,0.5,3011362,757464,51994,38089,30% to less than 40%,50% to less than 60%
0100000US,United States,null,3111,3111,null,Animal food manufacturing,31,311,4,2019,56457309,0.6,3006554,766943,55632,41903,30% to less than 40%,50% to less than 60%
0100000US,United States,null,31111,3111,null,Animal food manufacturing,31,311,5,2018,57501604,0.5,3011362,757464,51994,38089,30% to less than 40%,50% to less than 60%
0100000US,United States,null,31111,3111,null,Animal food manufacturing,31,311,5,2019,56457309,0.6,3006554,766943,55632,41903,30% to less than 40%,50% to less than 60%
0100000US,United States,null,311111,3111,null,Dog and cat food manufacturing,31,311,6,2018,24016497,0.8,1493986,373820,24168,19536,50% to less than 60%,60% to less than 70%
0100000US,United States,null,311111,3111,null,Dog and cat food manufacturing,31,311,6,2019,23494350,1.2,1462200,383963,27943,22657,40% to less than 50%,50% to less than 60%
0100000US,United States,null,311119,3111,null,Other animal food manufacturing,31,311,6,2018,33485107,0.6,1517376,383644,27827,18554,20% to less than 30%,40% to less than 50%
0100000US,United States,null,311119,3111,null,Other animal food manufacturing,31,311,6,2019,32962958,0.7,1544355,382980,27689,19245,20% to less than 30%,40% to less than 50%
0100000US,United States,null,3112,3112,null,Grain and oilseed milling,31,311,4,2018,84964542,0.1,3358336,832479,53479,41426,30% to less than 40%,30% to less than 40%
0100000US,United States,null,3112,3112,null,Grain and oilseed milling,31,311,4,2019,81901050,0.2,3452064,866568,51494,39248,30% to less than 40%,30% to less than 40%
0100000US,United States,null,31121,3112,null,Flour milling and malt manufacturing,31,311,5,2018,17360773,0.3,1097454,267779,19745,15001,30% to less than 40%,30% to less than 40%
0100000US,United States,null,31121,3112,null,Flour milling and malt manufacturing,31,311,5,2019,17754174,0.7,1112787,273709,18553,13836,40% to less than 50%,40% to less than 50%
