Economic Sector	Subsector	Industry Group	Code	Establishment age code	Year	Number of firms	Number of establishments	Number of employees	Number of establishments born during the last 12 months	Number of establishments exited during the last 12 months	id
31	1	2	11	50	1978	0	0	0	0	0	0100000US
32	1	9	20	80	1978	0	0	0	0	0	0100000US
32	4	1	21	100	1978	0	0	0	0	0	0100000US
31	1	5	20	40	1979	0	0	0	0	0	0100000US
31	5	2	20	60	1979	0	0	0	0	0	0100000US
31	5	2	40	90	1979	0	0	0	0	0	0100000US
31	6	9	98	100	1979	0	0	0	0	0	0100000US
32	7	3	20	110	1979	0	0	0	0	0	0100000US
32	7	3	20	50	1980	0	0	0	0	0	0100000US
32	6	2	91	80	1980	0	0	0	0	0	0100000US
33	1	4	20	100	1980	0	0	0	0	0	0100000US
31	1	2	11	70	1981	0	0	0	0	0	0100000US
32	1	9	20	100	1981	0	0	0	0	0	0100000US
32	4	1	21	70	1982	0	0	0	0	0	0100000US
31	1	5	20	90	1982	0	0	0	0	0	0100000US
31	5	2	20	110	1982	0	0	0	0	0	0100000US
31	5	2	40	100	1983	0	0	0	0	0	0100000US
31	6	9	98	110	1983	0	0	0	0	0	0100000US
32	7	3	20	80	1984	0	0	0	0	0	0100000US
32	7	3	20	90	1984	0	0	0	0	0	0100000US
32	6	2	91	80	1985	0	0	0	0	0	0100000US
33	1	4	20	100	1985	0	0	0	0	0	0100000US
31	1	2	11	90	1986	0	0	0	0	0	0100000US
32	1	9	20	80	1987	0	0	0	0	0	0100000US
32	4	1	21	100	1987	0	0	0	0	0	0100000US
31	1	5	20	90	1988	0	0	0	0	0	0100000US
31	5	2	20	110	1988	0	0	0	0	0	0100000US
31	5	2	40	110	1989	0	0	0	0	0	0100000US
31	6	9	98	90	1990	0	0	0	0	0	0100000US
32	7	3	20	100	1990	0	0	0	0	0	0100000US
32	7	3	20	110	1990	0	0	0	0	0	0100000US
32	6	2	91	110	1991	0	0	0	0	0	0100000US
33	1	4	20	100	1992	0	0	0	0	0	0100000US
31	1	2	11	110	1993	0	0	0	0	0	0100000US
32	1	9	20	100	1995	0	0	0	0	0	0100000US
32	4	1	21	100	1996	0	0	0	0	0	0100000US
31	1	5	20	100	1997	0	0	0	0	0	0100000US
31	5	2	20	110	1998	0	0	0	0	0	0100000US
31	5	2	40	110	2001	0	0	0	0	0	0100000US
31	6	9	98	110	2002	0	0	0	0	0	0100000US
32	7	3	20	1	1978	262447	309140	18118738	34851	28289	0100000US
32	7	3	20	10	1978	29792	31122	529706	31122	0	0100000US
32	6	2	91	1	1979	255685	302989	18901965	31115	33510	0100000US
33	1	4	20	20	1979	21941	23082	560436	0	7932	0100000US
31	1	2	11	1	1980	255012	303608	18745186	31566	30687	0100000US
32	1	9	20	30	1980	18523	19539	529783	687	4280	0100000US
32	4	1	21	150	1980	180733	216781	16455317	2906	16786	0100000US
31	1	5	20	10	1981	29603	31078	626500	31078	0	0100000US
31	5	2	20	30	1981	17626	18656	477791	1064	3090	0100000US
31	5	2	40	150	1981	176113	210109	15381830	5443	12461	0100000US
31	6	9	98	1	1982	271895	320897	17478675	30855	30404	0100000US
32	7	3	20	10	1982	24924	26177	572388	26177	0	0100000US
32	7	3	20	20	1982	23709	25014	629553	0	6153	0100000US
32	6	2	91	50	1982	16488	17281	470465	509	2330	0100000US
33	1	4	20	150	1982	167235	199312	14208444	2221	13604	0100000US
31	1	2	11	20	1983	19702	20787	527433	0	5366	0100000US
32	1	9	20	50	1983	14163	14933	401813	384	2069	0100000US
32	4	1	21	70	1983	14477	15624	536079	358	1772	0100000US
31	1	5	20	1	1984	274067	321880	17380723	30331	28916	0100000US
31	5	2	20	20	1984	19924	20897	492000	0	5326	0100000US
31	5	2	40	50	1984	14653	15505	513220	402	1996	0100000US
31	6	9	98	60	1984	12987	13693	424068	319	1534	0100000US
32	7	3	20	70	1984	26971	29032	1023191	678	2960	0100000US
32	7	3	20	150	1984	151010	179004	13200945	1638	11065	0100000US
32	6	2	91	20	1985	19808	21045	537693	0	5326	0100000US
33	1	4	20	40	1985	15129	15989	530536	474	2457	0100000US
31	1	2	11	70	1985	36531	39485	1394853	995	4183	0100000US
32	1	9	20	10	1986	28849	30422	678226	30422	0	0100000US
32	4	1	21	30	1986	17175	18289	524129	525	3329	0100000US
31	1	5	20	50	1986	13488	14255	481567	315	1939	0100000US
31	5	2	20	70	1986	45265	49274	1788539	913	5101	0100000US
31	5	2	40	10	1987	29101	30401	572324	30401	0	0100000US
31	6	9	98	20	1987	22842	24133	658590	0	6462	0100000US
32	7	3	20	30	1987	22368	23649	649587	831	4389	0100000US
32	7	3	20	40	1987	15265	16261	498994	518	2497	0100000US
32	6	2	91	70	1987	55249	60307	2256877	1233	6332	0100000US
33	1	4	20	1	1988	288204	335732	17128298	36593	31286	0100000US
31	1	2	11	30	1988	20856	22073	716206	781	3872	0100000US
32	1	9	20	60	1988	12424	13042	416890	329	1486	0100000US
32	4	1	21	80	1988	10257	10932	468624	184	837	0100000US
31	1	5	20	1	1989	291626	339124	17352837	35276	31821	0100000US
31	5	2	20	20	1989	24002	25828	743283	0	6118	0100000US
31	5	2	40	50	1989	18094	19181	631562	466	2411	0100000US
31	6	9	98	60	1989	12543	13359	480972	291	1667	0100000US
32	7	3	20	70	1989	51385	55696	2212877	1009	5282	0100000US
32	7	3	20	80	1989	19273	20538	862465	361	1580	0100000US
32	6	2	91	10	1990	28180	29426	500173	29426	0	0100000US
33	1	4	20	30	1990	20877	22546	703756	617	3935	0100000US
31	1	2	11	60	1990	16484	17493	613137	373	2053	0100000US
32	1	9	20	150	1990	107688	126526	10041337	958	6989	0100000US
32	4	1	21	10	1991	24830	25891	422275	25891	0	0100000US
31	1	5	20	30	1991	19743	20872	544395	535	3932	0100000US
31	5	2	20	50	1991	16313	17190	506043	416	2343	0100000US
31	5	2	40	80	1991	34097	36776	1457927	486	2900	0100000US
31	6	9	98	150	1991	103876	121636	9201605	742	7829	0100000US
32	7	3	20	1	1992	286929	333232	15893415	27866	32790	0100000US
32	7	3	20	10	1992	23043	23780	409965	23780	0	0100000US
32	6	2	91	40	1992	17454	18419	515877	488	2900	0100000US
33	1	4	20	60	1992	14655	15451	491748	335	1929	0100000US
31	1	2	11	150	1992	96800	113512	8817196	710	6717	0100000US
32	1	9	20	20	1993	18436	19135	434846	0	4762	0100000US
32	4	1	21	40	1993	16356	17209	451866	493	2484	0100000US
31	1	5	20	60	1993	14999	16173	592704	370	1832	0100000US
31	5	2	20	80	1993	39938	43064	1831404	612	2955	0100000US
31	5	2	40	1	1994	291221	337397	16076631	30364	28620	0100000US
31	6	9	98	10	1994	25248	26237	451633	26237	0	0100000US
32	7	3	20	20	1994	19706	20496	439819	0	5141	0100000US
32	7	3	20	30	1994	16456	17077	479033	434	2986	0100000US
32	6	2	91	60	1994	14701	15505	492428	348	1684	0100000US
33	1	4	20	80	1994	38668	41789	1837717	503	2857	0100000US
31	1	2	11	1	1995	293001	339281	16497873	30375	27315	0100000US
32	1	9	20	30	1995	17014	17753	435729	500	3149	0100000US
32	4	1	21	50	1995	13703	14372	386968	316	1748	0100000US
31	1	5	20	70	1995	60391	66242	2659242	1164	5403	0100000US
31	5	2	20	90	1995	20420	21803	1029411	241	1240	0100000US
31	5	2	40	10	1996	23934	24848	382059	24848	0	0100000US
31	6	9	98	20	1996	20104	20942	447957	0	5186	0100000US
32	7	3	20	30	1996	17607	18350	455660	399	3269	0100000US
32	7	3	20	40	1996	15119	15749	414590	394	2427	0100000US
32	6	2	91	70	1996	58027	63742	2488881	1118	5336	0100000US
33	1	4	20	90	1996	25943	27894	1354117	267	1551	0100000US
31	1	2	11	10	1997	23580	24471	431707	24471	0	0100000US
32	1	9	20	40	1997	15702	16352	456106	400	2396	0100000US
32	4	1	21	60	1997	12424	12856	447220	251	1385	0100000US
31	1	5	20	80	1997	41861	45471	2148732	496	3160	0100000US
31	5	2	20	150	1997	77192	90455	7580775	500	4639	0100000US
31	5	2	40	20	1998	19243	20090	463813	0	4359	0100000US
31	6	9	98	30	1998	16687	17388	398192	413	2948	0100000US
32	7	3	20	40	1998	15602	16286	450756	358	2304	0100000US
32	7	3	20	50	1998	14290	14906	452751	310	1810	0100000US
32	6	2	91	80	1998	43257	47181	2223636	595	2884	0100000US
33	1	4	20	100	1998	6327	6679	369790	64	354	0100000US
31	1	2	11	10	1999	19598	20766	407680	20766	0	0100000US
32	1	9	20	40	1999	14864	15506	384143	415	2310	0100000US
32	4	1	21	60	1999	13032	13633	437457	318	1580	0100000US
31	1	5	20	80	1999	44640	49104	2341901	596	3201	0100000US
31	5	2	20	100	1999	11833	12516	668519	118	705	0100000US
31	5	2	40	10	2000	19008	20305	441954	20305	0	0100000US
31	6	9	98	20	2000	15737	16777	414403	0	3893	0100000US
32	7	3	20	30	2000	16137	17094	461866	478	2889	0100000US
32	7	3	20	40	2000	14921	15632	431198	446	2288	0100000US
32	6	2	91	70	2000	51053	54921	1958603	951	5019	0100000US
33	1	4	20	90	2000	30523	33156	1700668	310	1971	0100000US
31	1	2	11	1	2001	284859	332190	15901839	24042	27784	0100000US
32	1	9	20	30	2001	14059	15052	401004	432	2422	0100000US
32	4	1	21	50	2001	13704	14374	410842	392	1822	0100000US
31	1	5	20	70	2001	50661	54321	1870590	1128	5226	0100000US
31	5	2	20	90	2001	32538	35356	1747347	341	2081	0100000US
31	5	2	40	1	2002	282948	329782	14523927	24236	33051	0100000US
31	6	9	98	10	2002	18506	19593	396764	19593	0	0100000US
32	7	3	20	20	2002	14495	15608	343827	0	4266	0100000US
32	7	3	20	30	2002	13596	14647	386430	446	2775	0100000US
32	6	2	91	60	2002	12695	13264	368150	348	1918	0100000US
33	1	4	20	80	2002	42712	46718	1828909	650	4024	0100000US
31	1	2	11	150	2002	63149	73727	5736060	487	4919	0100000US
32	1	9	20	20	2003	14740	15701	372677	0	3800	0100000US
32	4	1	21	40	2003	11974	12906	348307	367	2048	0100000US
31	1	5	20	60	2003	11931	12636	358456	297	1579	0100000US
31	5	2	20	80	2003	41147	44715	1742051	679	3421	0100000US
31	5	2	40	110	2003	4965	5248	274876	55	324	0100000US
31	6	9	98	150	2003	60199	70199	5464524	503	3965	0100000US
32	7	3	20	1	2004	273530	318476	13722079	22185	26717	0100000US
32	7	3	20	10	2004	16964	17909	285166	17909	0	0100000US
32	6	2	91	40	2004	11221	12083	301260	351	1794	0100000US
33	1	4	20	60	2004	10249	10948	310253	253	1355	0100000US
31	1	2	11	90	2004	35152	38506	1752357	480	2414	0100000US
32	1	9	20	150	2004	57577	67044	5192047	463	3521	0100000US
32	4	1	21	10	2005	16543	17533	257399	17533	0	0100000US
31	1	5	20	30	2005	11768	12458	263421	390	2209	0100000US
31	5	2	20	50	2005	10166	10972	298691	335	1348	0100000US
31	5	2	40	80	2005	38200	41007	1497684	688	3015	0100000US
31	6	9	98	90	2005	35692	39132	1793681	498	2569	0100000US
32	7	3	20	100	2005	24500	26511	1302006	300	1475	0100000US
32	7	3	20	110	2005	12958	13803	703746	126	779	0100000US
32	6	2	91	10	2006	19095	20468	302129	20468	0	0100000US
33	1	4	20	30	2006	12194	12830	269017	434	2104	0100000US
31	1	2	11	60	2006	9286	10009	293943	297	1253	0100000US
32	1	9	20	90	2006	34289	37625	1723802	534	2501	0100000US
32	4	1	21	110	2006	16539	17801	941338	198	1057	0100000US
31	1	5	20	1	2007	269146	313934	13337202	21767	24650	0100000US
31	5	2	20	20	2007	15807	16988	287248	0	3452	0100000US
31	5	2	40	50	2007	9770	10312	242315	265	1250	0100000US
31	6	9	98	60	2007	10116	10779	328554	238	1056	0100000US
32	7	3	20	70	2007	42577	46962	1531948	983	4140	0100000US
32	7	3	20	80	2007	37709	40365	1442973	650	2911	0100000US
32	6	2	91	110	2007	20883	22585	1186373	226	1303	0100000US
33	1	4	20	1	2008	260613	304221	12920822	19123	24799	0100000US
31	1	2	11	30	2008	13537	14503	272236	231	2345	0100000US
32	1	9	20	60	2008	8664	9121	227434	139	1074	0100000US
32	4	1	21	80	2008	36794	39478	1378159	532	3026	0100000US
31	1	5	20	100	2008	26920	29260	1388654	250	1627	0100000US
31	5	2	20	150	2008	48183	56144	4430567	312	2615	0100000US
31	5	2	40	20	2009	11701	12363	192299	0	3628	0100000US
31	6	9	98	30	2009	11012	11584	189510	299	2574	0100000US
32	7	3	20	40	2009	11739	12576	231844	266	2199	0100000US
32	7	3	20	50	2009	9476	10007	205308	211	1575	0100000US
32	6	2	91	80	2009	35709	38534	1275319	527	3451	0100000US
33	1	4	20	100	2009	27488	30104	1328489	258	1987	0100000US
31	1	2	11	1	2010	241529	282700	10829797	16326	26369	0100000US
32	1	9	20	30	2010	9989	10557	175977	323	2141	0100000US
32	4	1	21	50	2010	10417	11164	208862	342	1774	0100000US
31	1	5	20	70	2010	35279	38690	1067192	873	4219	0100000US
31	5	2	20	90	2010	28660	30715	1088330	467	2412	0100000US
31	5	2	40	150	2010	44089	51284	3669923	309	2643	0100000US
31	6	9	98	1	2011	238562	279265	10926328	17950	21706	0100000US
32	7	3	20	10	2011	12369	12895	153572	12895	0	0100000US
32	7	3	20	20	2011	9120	9755	158919	0	2314	0100000US
32	6	2	91	50	2011	8819	9284	173797	371	1269	0100000US
33	1	4	20	70	2011	34782	37970	1033885	1002	3619	0100000US
31	1	2	11	100	2011	26685	29247	1263958	406	1729	0100000US
32	1	9	20	1	2012	239601	280127	11159235	18168	19303	0100000US
32	4	1	21	20	2012	10184	10664	158294	0	2210	0100000US
31	1	5	20	40	2012	8036	8626	175850	294	1038	0100000US
31	5	2	20	60	2012	8471	8884	181642	304	921	0100000US
31	5	2	40	90	2012	28324	30310	1115402	563	1754	0100000US
31	6	9	98	100	2012	25625	28032	1190752	386	1553	0100000US
32	7	3	20	110	2012	36753	40606	1980295	460	2028	0100000US
32	7	3	20	150	2012	41125	47856	3603089	345	1939	0100000US
32	6	2	91	20	2013	10359	10728	152510	0	2475	0100000US
33	1	4	20	40	2013	7324	7825	157546	205	987	0100000US
31	1	2	11	70	2013	35483	38540	987312	878	3191	0100000US
32	1	9	20	100	2013	24930	27078	1188510	348	1470	0100000US
32	4	1	21	150	2013	39554	46045	3542778	297	1933	0100000US
31	1	5	20	10	2014	12953	13676	187318	13676	0	0100000US
31	5	2	20	30	2014	9289	9640	160403	263	1392	0100000US
31	5	2	40	60	2014	6832	7353	179410	182	694	0100000US
31	6	9	98	70	2014	35592	38622	962049	929	3054	0100000US
32	7	3	20	80	2014	28098	31105	1138957	514	1839	0100000US
32	7	3	20	90	2014	28208	30443	1165135	457	1652	0100000US
32	6	2	91	150	2014	38323	44652	3496443	293	1757	0100000US
33	1	4	20	10	2015	13515	14316	183098	14316	0	0100000US
31	1	2	11	40	2015	8529	8847	165523	244	1058	0100000US
32	1	9	20	70	2015	34214	37289	960858	847	2817	0100000US
32	4	1	21	90	2015	27304	29725	1154712	439	1572	0100000US
31	1	5	20	110	2015	45778	51439	2709822	519	2395	0100000US
31	5	2	20	1	2016	234204	276174	11536552	18019	18063	0100000US
31	5	2	40	30	2016	9811	10436	189491	286	1348	0100000US
31	6	9	98	40	2016	8367	8688	156891	212	1106	0100000US
32	7	3	20	50	2016	7898	8198	163801	219	906	0100000US
32	7	3	20	60	2016	7155	7505	162524	203	706	0100000US
32	6	2	91	90	2016	26031	28652	1156302	354	1567	0100000US
33	1	4	20	110	2016	48123	54330	2879793	501	2540	0100000US
31	1	2	11	10	2017	13603	14338	187380	14338	0	0100000US
32	1	9	20	40	2017	8931	9490	191357	228	1171	0100000US
32	4	1	21	60	2017	7317	7591	162301	184	837	0100000US
31	1	5	20	80	2017	28445	31249	1059724	481	2137	0100000US
31	5	2	20	100	2017	22759	24546	1092244	253	1420	0100000US
31	5	2	40	1	2018	230134	273966	11859412	17762	18321	0100000US
31	6	9	98	10	2018	12376	14215	210330	14215	0	0100000US
32	7	3	20	20	2018	11115	11802	189128	0	2509	0100000US
32	7	3	20	30	2018	10207	10919	171462	306	1460	0100000US
32	6	2	91	60	2018	7195	7480	158451	177	730	0100000US
33	1	4	20	80	2018	27801	30472	990961	471	1853	0100000US
31	1	2	11	110	2018	51743	58881	3261014	515	2827	0100000US
32	1	9	20	40	1978	0	0	0	0	0	0100000US
32	4	1	21	60	1978	0	0	0	0	0	0100000US
31	1	5	20	80	1978	0	0	0	0	0	0100000US
31	5	2	20	100	1978	0	0	0	0	0	0100000US
31	5	2	40	50	1979	0	0	0	0	0	0100000US
31	6	9	98	60	1979	0	0	0	0	0	0100000US
32	7	3	20	70	1979	0	0	0	0	0	0100000US
32	7	3	20	80	1979	0	0	0	0	0	0100000US
32	6	2	91	110	1979	0	0	0	0	0	0100000US
33	1	4	20	60	1980	0	0	0	0	0	0100000US
31	1	2	11	90	1980	0	0	0	0	0	0100000US
32	1	9	20	60	1981	0	0	0	0	0	0100000US
32	4	1	21	80	1981	0	0	0	0	0	0100000US
31	1	5	20	100	1981	0	0	0	0	0	0100000US
31	5	2	20	70	1982	0	0	0	0	0	0100000US
31	5	2	40	100	1982	0	0	0	0	0	0100000US
31	6	9	98	110	1982	0	0	0	0	0	0100000US
32	7	3	20	80	1983	0	0	0	0	0	0100000US
32	7	3	20	90	1983	0	0	0	0	0	0100000US
32	6	2	91	80	1984	0	0	0	0	0	0100000US
33	1	4	20	100	1984	0	0	0	0	0	0100000US
31	1	2	11	90	1985	0	0	0	0	0	0100000US
32	1	9	20	80	1986	0	0	0	0	0	0100000US
32	4	1	21	100	1986	0	0	0	0	0	0100000US
31	1	5	20	80	1987	0	0	0	0	0	0100000US
31	5	2	20	100	1987	0	0	0	0	0	0100000US
31	5	2	40	100	1988	0	0	0	0	0	0100000US
31	6	9	98	110	1988	0	0	0	0	0	0100000US
32	7	3	20	90	1989	0	0	0	0	0	0100000US
32	7	3	20	100	1989	0	0	0	0	0	0100000US
32	6	2	91	100	1990	0	0	0	0	0	0100000US
33	1	4	20	90	1991	0	0	0	0	0	0100000US
31	1	2	11	90	1992	0	0	0	0	0	0100000US
32	1	9	20	100	1993	0	0	0	0	0	0100000US
32	4	1	21	100	1994	0	0	0	0	0	0100000US
31	1	5	20	100	1995	0	0	0	0	0	0100000US
31	5	2	20	100	1996	0	0	0	0	0	0100000US
31	5	2	40	110	1997	0	0	0	0	0	0100000US
31	6	9	98	110	1998	0	0	0	0	0	0100000US
32	7	3	20	110	1999	0	0	0	0	0	0100000US
32	7	3	20	110	2000	0	0	0	0	0	0100000US
32	6	2	91	1	1978	262447	309140	18118738	34851	28289	0100000US
33	1	4	20	20	1978	24221	26244	707947	0	7227	0100000US
31	1	2	11	10	1979	25378	26762	514434	26762	0	0100000US
32	1	9	20	150	1979	193856	231033	17103332	3609	20938	0100000US
32	4	1	21	10	1980	25937	27369	568271	27369	0	0100000US
31	1	5	20	30	1980	18523	19539	529783	687	4280	0100000US
31	5	2	20	150	1980	180733	216781	16455317	2906	16786	0100000US
31	5	2	40	20	1981	20860	22110	571237	0	5267	0100000US
31	6	9	98	30	1981	17626	18656	477791	1064	3090	0100000US
32	7	3	20	40	1981	18227	19113	507369	1863	2467	0100000US
32	7	3	20	50	1981	17036	18459	652877	977	2157	0100000US
32	6	2	91	10	1982	24924	26177	572388	26177	0	0100000US
33	1	4	20	30	1982	18341	19459	537226	837	3493	0100000US
31	1	2	11	60	1982	15741	17040	612218	493	2196	0100000US
32	1	9	20	10	1983	25293	26451	478813	26451	0	0100000US
32	4	1	21	30	1983	20540	21708	578408	565	3862	0100000US
31	1	5	20	50	1983	14163	14933	401813	384	2069	0100000US
31	5	2	20	70	1983	14477	15624	536079	358	1772	0100000US
31	5	2	40	10	1984	24885	26315	555621	26315	0	0100000US
31	6	9	98	20	1984	19924	20897	492000	0	5326	0100000US
32	7	3	20	30	1984	17013	17973	551127	526	3352	0100000US
32	7	3	20	40	1984	18424	19461	620551	453	2683	0100000US
