GeographySummary	2017 NAICS code	NAICS Code Related	Year	"Sales, value of shipments, or revenue ($1,000)"	"Annual payroll ($1,000)"	"First-quarter payroll ($1,000)"	Number of employees	GeographyVariant	GeographyNation
10	31-33	3365	2018	5890662939	692979103	175598627	11633292	0	US
10	311	32419	2018	784628928	68773595	16846104	1494203	0	US
10	3111	325910	2018	57501604	3011362	757464	51994	0	US
10	31111	336991	2018	57501604	3011362	757464	51994	0	US
10	311111	31-33	2018	24016497	1493986	373820	24168	0	US
10	311119	335912	2018	33485107	1517376	383644	27827	0	US
10	3112	333924	2018	84964542	3358336	832479	53479	0	US
10	31121	33271	2018	17360773	1097454	267779	19745	0	US
10	311211	3314	2018	12386440	750526	184793	12879	0	US
10	311212	336390	2018	3731579	282357	66274	5882	0	US
10	311213	325194	2018	1242754	64572	16712	983	0	US
10	31122	321211	2018	57301743	1404075	345629	21161	0	US
10	311221	326191	2018	10204049	512015	129294	6223	0	US
10	311224	335929	2018	37863862	534431	128610	8646	0	US
10	311225	312112	2018	9233832	357630	87724	6292	0	US
10	31123	339995	2018	10302026	856807	219071	12573	0	US
10	311230	31331	2018	10302026	856807	219071	12573	0	US
10	3113	3255	2018	37529887	3902989	947231	82472	0	US
10	31131	331492	2018	10527211	790039	201516	13716	0	US
10	311313	32532	2018	3805287	342038	90263	6344	0	US
10	311314	311314	2018	6721924	448001	111253	7372	0	US
10	31134	31322	2018	9976279	1130842	268410	22837	0	US
10	311340	32212	2018	9976279	1130842	268410	22837	0	US
10	31135	31524	2018	17026397	1982108	477305	45919	0	US
10	311351	32552	2018	4293393	483604	116905	8118	0	US
10	311352	339993	2018	12733004	1498504	360400	37801	0	US
10	3114	339	2018	72910628	7764787	1901006	158261	0	US
10	31141	311421	2018	33063624	4071394	985969	88166	0	US
10	311411	311512	2018	12341323	1257350	291070	28018	0	US
10	311412	333612	2018	20722300	2814044	694899	60148	0	US
10	31142	33211	2018	39847004	3693392	915038	70096	0	US
10	311421	32616	2018	25485944	2391147	551559	44530	0	US
10	311422	32531	2018	7674523	563628	186401	10352	0	US
10	311423	334418	2018	6686537	738618	177078	15213	0	US
10	3115	331529	2018	117489124	8079496	2072807	149633	0	US
