Industry group	Year	Sales, value of shipments, or revenue ($1,000)	Annual payroll ($1,000)	First-quarter payroll ($1,000)	Number of employees	GEO_ID
3111	2018	57501604	3011362	757464	51994	0100000US
3111	2018	57501604	3011362	757464	51994	0100000US
3111	2018	24016497	1493986	373820	24168	0100000US
3111	2018	33485107	1517376	383644	27827	0100000US
3112	2018	84964542	3358336	832479	53479	0100000US
3112	2018	17360773	1097454	267779	19745	0100000US
3112	2018	12386440	750526	184793	12879	0100000US
3112	2018	3731579	282357	66274	5882	0100000US
3112	2018	1242754	64572	16712	983	0100000US
3112	2018	57301743	1404075	345629	21161	0100000US
3112	2018	10204049	512015	129294	6223	0100000US
3112	2018	37863862	534431	128610	8646	0100000US
3112	2018	9233832	357630	87724	6292	0100000US
3112	2018	10302026	856807	219071	12573	0100000US
3112	2018	10302026	856807	219071	12573	0100000US
3113	2018	37529887	3902989	947231	82472	0100000US
3113	2018	10527211	790039	201516	13716	0100000US
3113	2018	3805287	342038	90263	6344	0100000US
3113	2018	6721924	448001	111253	7372	0100000US
3113	2018	9976279	1130842	268410	22837	0100000US
3113	2018	9976279	1130842	268410	22837	0100000US
3113	2018	17026397	1982108	477305	45919	0100000US
3113	2018	4293393	483604	116905	8118	0100000US
3113	2018	12733004	1498504	360400	37801	0100000US
3114	2018	72910628	7764787	1901006	158261	0100000US
3114	2018	33063624	4071394	985969	88166	0100000US
3114	2018	12341323	1257350	291070	28018	0100000US
3114	2018	20722300	2814044	694899	60148	0100000US
3114	2018	39847004	3693392	915038	70096	0100000US
3114	2018	25485944	2391147	551559	44530	0100000US
3114	2018	7674523	563628	186401	10352	0100000US
3114	2018	6686537	738618	177078	15213	0100000US
3115	2018	117489124	8079496	2072807	149633	0100000US
3115	2018	109150310	7108739	1831664	129375	0100000US
3115	2018	37241102	3138576	814038	55632	0100000US
3115	2018	7070513	216392	53085	3718	0100000US
3115	2018	47630519	2768666	708408	53331	0100000US
3115	2018	17208177	985104	256133	16693	0100000US
3115	2018	8338813	970757	241143	20258	0100000US
3115	2018	8338813	970757	241143	20258	0100000US
3116	2018	215808363	19940086	4807063	498207	0100000US
3116	2018	215808363	19940086	4807063	498207	0100000US
3116	2018	93512927	6536169	1565062	142841	0100000US
3116	2018	53250394	5095611	1239397	114184	0100000US
3116	2018	4628121	486736	125533	9022	0100000US
3116	2018	64416921	7821571	1877071	232160	0100000US
3117	2018	13461709	1502636	359669	31304	0100000US
3117	2018	13461709	1502636	359669	31304	0100000US
3117	2018	13461709	1502636	359669	31304	0100000US
3118	2018	69365384	10894072	2677500	264024	0100000US
3118	2018	43067835	7626515	1885608	196675	0100000US
3118	2018	4727667	1474053	342663	59088	0100000US
3118	2018	32037945	5218237	1301900	114214	0100000US
3118	2018	6302223	934225	241045	23374	0100000US
3118	2018	22062927	2540402	617838	49833	0100000US
3118	2018	10744799	1489418	357047	29412	0100000US
3118	2018	11318128	1050984	260792	20421	0100000US
3118	2018	4234623	727155	174054	17516	0100000US
3118	2018	4234623	727155	174054	17516	0100000US
3119	2018	115597688	10319831	2490884	204830	0100000US
3119	2018	39306282	2818284	662736	58199	0100000US
3119	2018	14912299	905382	208839	19583	0100000US
3119	2018	24393983	1912901	453897	38617	0100000US
3119	2018	12447557	972101	249104	17515	0100000US
3119	2018	12447557	972101	249104	17515	0100000US
3119	2018	11241110	494391	119197	7169	0100000US
3119	2018	11241110	494391	119197	7169	0100000US
3119	2018	22804904	2389758	586631	39576	0100000US
3119	2018	9994742	1012511	238992	18550	0100000US
3119	2018	12810162	1377247	347639	21026	0100000US
3119	2018	29797835	3645298	873217	82371	0100000US
3119	2018	17301725	2337475	553318	56677	0100000US
3119	2018	12496109	1307822	319898	25694	0100000US
3121	2018	108884165	10814483	2594391	207948	0100000US
3121	2018	44179085	4055967	977112	76212	0100000US
3121	2018	37254605	3258690	794403	59191	0100000US
3121	2018	6041665	575351	140891	11793	0100000US
3121	2018	882815	221926	41818	5228	0100000US
3121	2018	30834473	3180317	782303	69574	0100000US
3121	2018	30834473	3180317	782303	69574	0100000US
3121	2018	20682375	2787811	649975	49950	0100000US
3121	2018	20682375	2787811	649975	49950	0100000US
3121	2018	13188232	790388	185001	12211	0100000US
3121	2018	13188232	790388	185001	12211	0100000US
3122	2018	47246633	916969	279243	13239	0100000US
3122	2018	47246633	916969	279243	13239	0100000US
3122	2018	47246633	916969	279243	13239	0100000US
3131	2018	6886303	806678	199283	20666	0100000US
3131	2018	6886303	806678	199283	20666	0100000US
3131	2018	6886303	806678	199283	20666	0100000US
3132	2018	13296725	1985202	504674	43354	0100000US
3132	2018	3818540	647933	160088	15782	0100000US
3132	2018	3818540	647933	160088	15782	0100000US
3132	2018	946351	203305	52030	4898	0100000US
3132	2018	946351	203305	52030	4898	0100000US
3132	2018	7154664	871193	228769	16375	0100000US
3132	2018	7154664	871193	228769	16375	0100000US
3132	2018	1377170	262772	63787	6299	0100000US
3132	2018	1377170	262772	63787	6299	0100000US
3133	2018	7628374	1222190	304101	26454	0100000US
3133	2018	5059911	813647	205243	19478	0100000US
3133	2018	5059911	813647	205243	19478	0100000US
3133	2018	2568463	408544	98858	6977	0100000US
3133	2018	2568463	408544	98858	6977	0100000US
3141	2018	12855628	1865915	464995	46934	0100000US
3141	2018	9232905	1176617	294568	26538	0100000US
3141	2018	9232905	1176617	294568	26538	0100000US
3141	2018	3622723	689298	170427	20396	0100000US
3141	2018	3622723	689298	170427	20396	0100000US
3149	2018	9803194	2170941	516947	55461	0100000US
3149	2018	3197758	787311	177523	19431	0100000US
3149	2018	3197758	787311	177523	19431	0100000US
3149	2018	6605435	1383629	339424	36029	0100000US
3149	2018	1670285	289997	76897	5846	0100000US
3149	2018	4935150	1093633	262527	30183	0100000US
3151	2018	1180860	314509	76306	10429	0100000US
3151	2018	929643	249107	59687	8372	0100000US
3151	2018	929643	249107	59687	8372	0100000US
3151	2018	251217	65402	16619	2057	0100000US
3151	2018	251217	65402	16619	2057	0100000US
3152	2018	7493817	1970428	474078	60266	0100000US
3152	2018	1930194	669030	157291	24191	0100000US
3152	2018	1930194	669030	157291	24191	0100000US
3152	2018	1556926	452657	109122	15425	0100000US
3152	2018	1556926	452657	109122	15425	0100000US
3152	2018	2839408	584991	142247	13283	0100000US
3152	2018	2839408	584991	142247	13283	0100000US
3152	2018	1167290	263750	65418	7367	0100000US
3152	2018	1167290	263750	65418	7367	0100000US
3159	2018	1065631	241815	60151	7830	0100000US
3159	2018	1065631	241815	60151	7830	0100000US
3159	2018	1065631	241815	60151	7830	0100000US
3161	2018	1270784	140457	32502	3273	0100000US
3161	2018	1270784	140457	32502	3273	0100000US
3161	2018	1270784	140457	32502	3273	0100000US
3162	2018	1768800	457465	117578	12192	0100000US
3162	2018	1768800	457465	117578	12192	0100000US
3162	2018	1768800	457465	117578	12192	0100000US
3169	2018	1561708	404151	97312	10570	0100000US
3169	2018	1561708	404151	97312	10570	0100000US
3169	2018	355393	70932	20137	1576	0100000US
3169	2018	1206315	333219	77175	8994	0100000US
3211	2018	34996566	4276876	1038725	86828	0100000US
3211	2018	34996566	4276876	1038725	86828	0100000US
3211	2018	28101457	3747438	910792	75313	0100000US
3211	2018	6895109	529438	127932	11515	0100000US
3212	2018	25287893	3575006	847521	76412	0100000US
3212	2018	25287893	3575006	847521	76412	0100000US
3212	2018	3131686	489488	120125	11567	0100000US
3212	2018	4321137	645059	164729	12650	0100000US
3212	2018	2578066	281582	69181	5557	0100000US
3212	2018	7161813	1336149	267561	33197	0100000US
3212	2018	8095191	822727	225926	13441	0100000US
3219	2018	53928894	9728149	2271219	239210	0100000US
3219	2018	26670178	4593063	1080403	107997	0100000US
3219	2018	13283582	2474312	579529	54155	0100000US
3219	2018	6002482	861065	199785	21693	0100000US
3219	2018	7384114	1257686	301089	32148	0100000US
3219	2018	10154220	1968164	462472	53997	0100000US
3219	2018	10154220	1968164	462472	53997	0100000US
3219	2018	17104495	3166922	728343	77216	0100000US
3219	2018	4832708	979861	218050	22943	0100000US
3219	2018	4328457	809322	181442	17992	0100000US
3219	2018	7943329	1377740	328851	36281	0100000US
3221	2018	77886570	7619110	1952798	91904	0100000US
3221	2018	6837884	841278	201065	9260	0100000US
3221	2018	6837884	841278	201065	9260	0100000US
3221	2018	36751599	3618295	955420	46330	0100000US
3221	2018	35717353	3519853	926264	45230	0100000US
3221	2018	1034246	98442	29156	1100	0100000US
3221	2018	34297086	3159537	796313	36314	0100000US
3221	2018	34297086	3159537	796313	36314	0100000US
3222	2018	113528335	13935428	3548837	236864	0100000US
3222	2018	67556104	8376861	2120345	139946	0100000US
3222	2018	38757486	4651473	1183861	75121	0100000US
3222	2018	21239697	2819715	717085	46773	0100000US
3222	2018	7558921	905674	219399	18052	0100000US
3222	2018	23345495	2976202	766436	49440	0100000US
3222	2018	23345495	2976202	766436	49440	0100000US
3222	2018	5789792	733881	180339	15256	0100000US
3222	2018	5789792	733881	180339	15256	0100000US
3222	2018	16836945	1848483	481717	32222	0100000US
3222	2018	12092257	1076834	289152	17618	0100000US
3222	2018	4744688	771650	192565	14605	0100000US
3231	2018	83310469	20962094	5158594	420133	0100000US
3231	2018	80394828	19926373	4907589	398717	0100000US
3231	2018	66990907	16577318	4109451	315535	0100000US
3231	2018	8869763	2259622	528475	61017	0100000US
3231	2018	4534159	1089433	269663	22165	0100000US
3231	2018	2915640	1035721	251004	21416	0100000US
3231	2018	2915640	1035721	251004	21416	0100000US
3241	2018	672627047	11367943	3249998	107735	0100000US
3241	2018	624724725	8300210	2519022	65474	0100000US
3241	2018	624724725	8300210	2519022	65474	0100000US
3241	2018	24935817	1763423	398354	26049	0100000US
3241	2018	13919254	1042352	211490	15912	0100000US
3241	2018	11016563	721071	186864	10136	0100000US
3241	2018	22966505	1304309	332622	16211	0100000US
3241	2018	18425065	1075761	273702	13005	0100000US
3241	2018	4541440	228549	58920	3206	0100000US
3251	2018	230686282	13431425	3567820	146630	0100000US
3251	2018	58821513	1201558	330755	9189	0100000US
3251	2018	58821513	1201558	330755	9189	0100000US
3251	2018	8825127	933626	228418	12475	0100000US
3251	2018	8825127	933626	228418	12475	0100000US
3251	2018	6095878	627022	162666	7688	0100000US
3251	2018	6095878	627022	162666	7688	0100000US
3251	2018	34869685	3369254	903474	38162	0100000US
3251	2018	34869685	3369254	903474	38162	0100000US
3251	2018	122074079	7299965	1942508	79116	0100000US
3251	2018	31366652	797448	213948	10871	0100000US
3251	2018	6173853	489185	121925	5054	0100000US
3251	2018	84533574	6013332	1606635	63190	0100000US
3252	2018	109692840	7669320	2056692	93197	0100000US
3252	2018	103249131	7008194	1895302	80825	0100000US
3252	2018	94852760	6217567	1679392	71095	0100000US
3252	2018	8396371	790628	215911	9730	0100000US
3252	2018	6443709	661126	161389	12372	0100000US
3252	2018	6443709	661126	161389	12372	0100000US
3253	2018	32589952	2419159	618174	32948	0100000US
3253	2018	17982488	1566528	404502	20907	0100000US
3253	2018	6980879	528315	143459	6210	0100000US
3253	2018	6073654	540864	141305	5802	0100000US
3253	2018	4927955	497349	119738	8896	0100000US
3253	2018	14607464	852632	213671	12041	0100000US
3253	2018	14607464	852632	213671	12041	0100000US
3254	2018	209256454	21392571	5861353	243931	0100000US
3254	2018	209256454	21392571	5861353	243931	0100000US
3254	2018	11992741	1914833	509188	26324	0100000US
3254	2018	153347176	12158619	3302976	141047	0100000US
3254	2018	13392570	2684255	759646	28510	0100000US
3254	2018	30523968	4634863	1289544	48051	0100000US
3255	2018	43059295	4093722	1103272	59989	0100000US
3255	2018	27352252	2369070	652099	35569	0100000US
3255	2018	27352252	2369070	652099	35569	0100000US
3255	2018	15707044	1724652	451172	24420	0100000US
3255	2018	15707044	1724652	451172	24420	0100000US
3256	2018	85185672	6411864	1666188	102836	0100000US
3256	2018	38887393	3259336	836254	49480	0100000US
3256	2018	24795711	1636886	403255	26661	0100000US
3256	2018	6518700	1061458	281682	15929	0100000US
3256	2018	7572981	560992	151317	6890	0100000US
3256	2018	46298279	3152528	829934	53356	0100000US
3256	2018	46298279	3152528	829934	53356	0100000US
3259	2018	47592820	5283883	1293071	82169	0100000US
3259	2018	4678660	665583	160683	10118	0100000US
3259	2018	4678660	665583	160683	10118	0100000US
3259	2018	2726787	499792	122150	7613	0100000US
3259	2018	2726787	499792	122150	7613	0100000US
3259	2018	40187373	4118508	1010238	64438	0100000US
3259	2018	11493397	1183581	280218	18719	0100000US
3259	2018	5961791	506412	121285	8552	0100000US
3259	2018	22732184	2428515	608735	37167	0100000US
3261	2018	204595253	30686842	7654795	640987	0100000US
3261	2018	41022197	5202811	1319796	94904	0100000US
3261	2018	11281340	1467083	353843	30742	0100000US
3261	2018	13838626	1835281	460246	31689	0100000US
3261	2018	15902231	1900447	505707	32473	0100000US
3261	2018	20808328	2190429	535876	40216	0100000US
3261	2018	8477168	1034330	252437	17772	0100000US
3261	2018	12331160	1156099	283438	22444	0100000US
3261	2018	4314372	679745	179916	11756	0100000US
3261	2018	4314372	679745	179916	11756	0100000US
