Country,Code,Year,Population,Continent,Life expectancy,GDP Per Capita
Afghanistan,AFG,2015,34414000,Asia,63.377,1928
Albania,ALB,2015,2891000,Europe,78.025,10947
Algeria,DZA,2015,39728000,Africa,76.09,13024
Angola,AGO,2015,27884000,Africa,59.398,8631
Argentina,ARG,2015,43075000,South America,76.068,19316
Venezuela,VEN,2015,30082000,South America,72.584,16257
Vietnam,VNM,2015,92677000,Asia,75.11,5733
Yemen,YEM,2015,26498000,Asia,66.085,2496
Zambia,ZMB,2015,15879000,Africa,61.737,3537
Zimbabwe,ZWE,2015,13815000,Africa,59.534,1759
Burkina Faso,BFA,2015,18111000,Africa,59.919,1527
Burundi,BDI,2015,10160000,Africa,60.123,723
Cambodia,KHM,2015,15521000,Asia,68.637,3139
Cameroon,CMR,2015,23298000,Africa,57.583,2754
Canada,CAN,2015,36027000,North America,82.026,42844
Cape Verde,CPV,2015,525000,Africa,72.117,6358
Central African Republic,CAF,2015,4493000,Africa,50.881,605
Chad,TCD,2015,14111000,Africa,53.137,2387
Chile,CHL,2015,17969000,South America,79.646,21340
China,CHN,2015,1406848000,Asia,75.928,12002
Colombia,COL,2015,47521000,South America,76.531,12858
Comoros,COM,2015,777000,Africa,63.471,1706
Congo,COG,2015,4856000,Africa,63.097,4526
Costa Rica,CRI,2015,4848000,North America,79.565,13568
Cote d'Ivoire,CIV,2015,23226000,Africa,56.065,3473
Croatia,HRV,2015,4233000,Europe,77.892,20905
Cuba,CUB,2015,11325000,North America,78.561,7889
Cyprus,CYP,2015,1161000,Europe,80.35,25903
Czech Republic,CZE,2015,10601000,Europe,78.692,30410
Democratic Republic of Congo,COD,2015,76245000,Africa,59.254,836
Denmark,DNK,2015,5689000,Europe,80.475,44939
Djibouti,DJI,2015,914000,Africa,64.136,3258
Dominica,DMA,2015,71000,North America,74.194,9537
Dominican Republic,DOM,2015,10282000,North America,73.241,13382
Ecuador,ECU,2015,16212000,South America,76.143,10914
Egypt,EGY,2015,92443000,Africa,71.302,11236
El Salvador,SLV,2015,6325000,North America,72.412,8163
Equatorial Guinea,GNQ,2015,1169000,Africa,57.359,35743
Estonia,EST,2015,1315000,Europe,77.783,25790
Ethiopia,ETH,2015,100835000,Africa,65.048,1576
