Date,Rainfall
1/1/20,0
2/1/20,0.2
3/1/20,0
4/1/20,0
5/1/20,0
6/1/20,0.5
7/1/20,3
8/1/20,2.4
9/1/20,0
10/1/20,0.4
11/1/20,0.1
12/1/20,0.1
13/1/20,0.4
14/1/20,0
15/1/20,0
16/1/20,1
17/1/20,14.4
18/1/20,31
19/1/20,5
20/1/20,0
21/1/20,3.4
22/1/20,0
23/1/20,0
24/1/20,1.4
25/1/20,0.6
26/1/20,0.1
27/1/20,0.4
28/1/20,0
29/1/20,0
30/1/20,0
31/1/20,0
1/2/20,0
2/2/20,0
3/2/20,21
4/2/20,3.4
5/2/20,0.1
6/2/20,3
7/2/20,77.7
8/2/20,69.2
9/2/20,72.6
10/2/20,187
11/2/20,0
12/2/20,0
13/2/20,8.8
14/2/20,5
15/2/20,0
16/2/20,1.2
17/2/20,0.6
18/2/20,0.4
19/2/20,16.4
20/2/20,0
21/2/20,0
22/2/20,0.8
23/2/20,0
24/2/20,0.2
25/2/20,0
26/2/20,0
27/2/20,0.8
28/2/20,0
29/2/20,0
1/3/20,0
2/3/20,0
3/3/20,0
4/3/20,22.4
5/3/20,5.6
6/3/20,43.6
7/3/20,0.1
8/3/20,14.5
9/3/20,7
10/3/20,5.2
11/3/20,0.5
12/3/20,0.6
13/3/20,0
14/3/20,0
15/3/20,10.6
16/3/20,15.2
17/3/20,10
18/3/20,0
19/3/20,0
20/3/20,0
21/3/20,0
22/3/20,0
23/3/20,1
24/3/20,6.4
25/3/20,0.4
26/3/20,17
27/3/20,0.8
28/3/20,0
29/3/20,17
30/3/20,1.2
31/3/20,0
1/4/20,0
2/4/20,0
3/4/20,5.2
4/4/20,7.8
5/4/20,0
6/4/20,0
7/4/20,5.8
8/4/20,7.8
9/4/20,0
10/4/20,1.2
11/4/20,4.2
12/4/20,0
13/4/20,0
14/4/20,0
15/4/20,0
16/4/20,0
17/4/20,0
18/4/20,0
19/4/20,0
20/4/20,0
21/4/20,0
22/4/20,0
23/4/20,0
24/4/20,0
25/4/20,0
26/4/20,0
27/4/20,0
28/4/20,0.4
29/4/20,2.2
30/4/20,0.2
1/5/20,12.2
2/5/20,0
3/5/20,0
4/5/20,0
5/5/20,11.4
6/5/20,0
7/5/20,0
8/5/20,0
9/5/20,0
10/5/20,0
11/5/20,0
12/5/20,0
13/5/20,0
14/5/20,0
15/5/20,14
16/5/20,8
17/5/20,0.6
18/5/20,0.1
19/5/20,5
20/5/20,0
21/5/20,0
22/5/20,22.8
23/5/20,3.2
24/5/20,0.6
25/5/20,0.4
26/5/20,53
27/5/20,7
28/5/20,0
29/5/20,1
30/5/20,5.6
31/5/20,0
1/6/20,0
2/6/20,4.6
3/6/20,0.1
4/6/20,0
5/6/20,0
6/6/20,0
7/6/20,0
8/6/20,20.4
9/6/20,5.4
10/6/20,4.8
11/6/20,8.4
12/6/20,1
13/6/20,5.8
14/6/20,9.6
15/6/20,0.1
16/6/20,0
17/6/20,0
18/6/20,1.6
19/6/20,0
20/6/20,0
21/6/20,5.4
22/6/20,0.6
23/6/20,0
24/6/20,0
25/6/20,0
26/6/20,0
27/6/20,0.4
28/6/20,0.4
29/6/20,9.6
30/6/20,2.2
1/7/20,0
2/7/20,0
3/7/20,0
4/7/20,1.6
5/7/20,0.4
6/7/20,0
7/7/20,0
8/7/20,9.4
9/7/20,0.2
10/7/20,0
11/7/20,4.6
12/7/20,0.6
13/7/20,4.8
14/7/20,18
15/7/20,9
16/7/20,0
17/7/20,0.8
18/7/20,1.3
19/7/20,0
20/7/20,0
21/7/20,0
22/7/20,0
23/7/20,0
24/7/20,0
25/7/20,0
26/7/20,4
27/7/20,73.6
28/7/20,50
29/7/20,2.2
30/7/20,0
31/7/20,0
1/8/20,0
2/8/20,0
3/8/20,0
4/8/20,0
5/8/20,0
6/8/20,0
7/8/20,0
8/8/20,18.2
9/8/20,2.6
10/8/20,36.6
11/8/20,2.2
12/8/20,0.2
13/8/20,1.2
14/8/20,0
15/8/20,4.4
16/8/20,1.4
17/8/20,0
18/8/20,0
19/8/20,0
20/8/20,0.2
21/8/20,0
22/8/20,0
23/8/20,0
24/8/20,0
25/8/20,0
26/8/20,0
27/8/20,0
28/8/20,0
29/8/20,0
30/8/20,0
31/8/20,0
1/9/20,0
2/9/20,0
3/9/20,0
4/9/20,0
5/9/20,8
6/9/20,0
7/9/20,0
8/9/20,0
9/9/20,0.4
10/9/20,8
11/9/20,0.4
12/9/20,0
13/9/20,0
14/9/20,0
15/9/20,0
16/9/20,0
17/9/20,0
18/9/20,0
19/9/20,4
20/9/20,1.6
21/9/20,9.8
22/9/20,0
23/9/20,0
24/9/20,0
25/9/20,0
26/9/20,2
27/9/20,0
28/9/20,0
29/9/20,0
30/9/20,0
1/10/20,3.2
2/10/20,0
3/10/20,0
4/10/20,0
5/10/20,0
6/10/20,0.2
7/10/20,0
8/10/20,0.4
9/10/20,0.8
10/10/20,0
11/10/20,0
12/10/20,0
13/10/20,0
14/10/20,0
15/10/20,0
16/10/20,0.1
17/10/20,0
18/10/20,1.8
19/10/20,2.7
20/10/20,0
21/10/20,0.4
22/10/20,0
23/10/20,0
24/10/20,3.8
25/10/20,18.8
26/10/20,34
27/10/20,13.6
28/10/20,0
29/10/20,15.3
30/10/20,0
31/10/20,2.8
