date,sp500,momentum,value
2015-01-02,,-0.11,-0.18
2015-01-05,-1.8278105089703327,1.02,-1.76
2015-01-06,-0.8893471870112801,0.41,-0.82
2015-01-07,1.1629842642575134,1.07,1.39
2015-01-08,1.7888281045797665,0.31,1.93
2015-01-09,-0.8403811040573337,0.28,-0.77
2015-01-12,-0.8093685243358693,0.77,-0.79
2015-01-13,-0.2578555497921679,0.46,-0.12
2015-01-14,-0.581306694978381,0.06,-0.58
2015-01-15,-0.9247876125553616,0.24,-0.9
2015-01-16,1.3424199395451943,-0.39,1.23
2015-01-20,0.1549952427826726,0.64,0.38
2015-01-21,0.4731623825443378,-0.6,0.29
2015-01-22,1.5269721805970466,0.7,1.45
2015-01-23,-0.5491522447795516,0.38,-0.46
2015-01-26,0.2568461085935695,-0.48,0.13
2015-01-27,-1.3387862379316458,-0.76,-1.66
2015-01-28,-1.3495609538427278,1.34,-0.82
2015-01-29,0.9534685377702432,0.8,1.28
2015-01-30,-1.2991965367965463,-1.99,-1.24
2015-02-02,1.2962464037225767,-1.16,1.39
2015-02-03,1.4439494938539572,-1.52,1.4
2015-02-04,-0.4156045950290721,1.01,-0.37
2015-02-05,1.0291406800400522,-0.7,0.99
2015-02-06,-0.3418172396697485,-0.61,-0.31
2015-02-09,-0.424719461883113,-0.9,-0.4
2015-02-10,1.0675561188404843,1.54,1.1
2015-02-11,-0.0029033785063708,0.34,0.2
2015-02-12,0.9644506350069552,-0.45,0.79
2015-02-13,0.4074738604868008,-1.17,0.45
2015-02-17,0.1597574626476824,-0.02,0.18
2015-02-18,-0.0314309098689124,0.98,0.13
2015-02-19,-0.1062057586022569,-0.2,-0.02
2015-02-20,0.6126533791127342,0.58,0.63
2015-02-23,-0.0303339328596048,0.91,0.14
2015-02-24,0.2758770722662332,-0.3,0.17
2015-02-25,-0.0765723625519773,-0.94,-0.2
2015-02-26,-0.1476028139074927,0.57,-0.12
2015-02-27,-0.2956304438046883,-0.29,-0.32
2015-03-02,0.6124919458303649,0.57,0.56
2015-03-03,-0.4538542491285999,-0.29,-0.43
2015-03-04,-0.438850348363368,0.19,-0.47
2015-03-05,0.1196080096693229,0.15,-0.02
2015-03-06,-1.417394644900435,-0.18,-1.37
2015-03-09,0.394442125110118,0.71,0.33
2015-03-10,-1.6961330342146874,0.46,-1.72
2015-03-11,-0.1917679601791974,-0.23,-0.34
2015-03-12,1.2601439598289734,0.6,1.13
2015-03-13,-0.6074711051894183,0.56,-0.54
2015-03-16,1.3533671143615345,0.69,1.24
2015-03-17,-0.3320173648677113,0.3,-0.16
2015-03-18,1.2158421547431284,-0.81,1.14
2015-03-19,-0.4872579185520394,1.36,-0.39
2015-03-20,0.901275460794673,-0.74,0.92
2015-03-23,-0.1745731146016884,-0.63,-0.24
2015-03-24,-0.6139422015983007,-0.09,-0.45
2015-03-25,-1.455890557016498,-1.6,-1.59
2015-03-26,-0.2377500246720031,0.05,-0.08
2015-03-27,0.2368561745066688,1.28,0.2
2015-03-30,1.223664484345965,0.39,1.09
2015-03-31,-0.8795774737306231,-0.38,-0.79
2015-04-01,-0.3965371670782637,-0.43,-0.35
2015-04-02,0.3529667186931186,-0.4,0.39
2015-04-06,0.6608815002585515,-1.0,0.84
2015-04-07,-0.2061904028009757,-0.19,-0.24
2015-04-08,0.2682533022574724,1.29,0.42
2015-04-09,0.4457481356853388,-0.5,0.39
2015-04-10,0.5202865058863764,0.05,0.4
2015-04-13,-0.4581280615065387,0.24,-0.51
2015-04-14,0.1629758754569333,-1.08,0.04
2015-04-15,0.5148195733910251,-1.41,0.61
2015-04-16,-0.0778443813615822,0.32,-0.18
2015-04-17,-1.131124523779803,-0.15,-1.21
2015-04-20,0.9235131333180712,0.37,1.17
2015-04-21,-0.1480605191915559,1.1,-0.03
2015-04-22,0.508748041595979,-0.23,0.55
2015-04-23,0.235771603443657,-0.25,0.35
2015-04-24,0.2252800212591281,0.24,0.67
2015-04-27,-0.4141313999847746,-1.43,-0.3
2015-04-28,0.2769231747055364,-0.86,0.15
2015-04-29,-0.3740335528663641,-1.14,-0.53
2015-04-30,-1.012890666510054,-1.1,-1.08
2015-05-01,1.0923001515586117,0.96,1.25
2015-05-04,0.2940748609209767,0.17,0.1
2015-05-05,-1.183738353852411,-0.46,-1.31
2015-05-06,-0.4455725007309633,0.56,-0.43
2015-05-07,0.3773813604708133,1.0,0.37
2015-05-08,1.3457901340996117,0.05,1.23
2015-05-11,-0.5089560749124795,0.42,-0.41
2015-05-12,-0.2949637714718274,-0.25,-0.3
2015-05-13,-0.0304954916498626,-0.2,-0.04
2015-05-14,1.0779287015166006,0.84,1.08
2015-05-15,0.0768413523499907,-0.14,0.11
2015-05-18,0.3047948189811681,0.81,0.29
2015-05-19,-0.0643374521663276,0.83,-0.32
2015-05-20,-0.0930516031553187,-0.16,-0.03
2015-05-21,0.2337874154285784,-0.45,0.4
2015-05-22,-0.2233885944423197,0.41,-0.22
2015-05-26,-1.0281980467796303,0.4,-1.03
2015-05-27,0.91626411220271,0.82,0.96
2015-05-28,-0.1266760706639716,0.13,-0.25
2015-05-29,-0.6318468944864726,0.14,-0.63
2015-06-01,0.2059460859338969,0.37,0.2
2015-06-02,-0.1008595805416457,-0.87,-0.08
2015-06-03,0.211887077756483,0.47,0.3
2015-06-04,-0.8623167356627116,0.12,-0.84
2015-06-05,-0.1436183045278197,0.08,-0.35
2015-06-08,-0.6474509871794735,0.0,-0.63
2015-06-09,0.0418352981737842,-0.25,0.08
