Dept_Code,Department,Div_Code,Division,Cost_Center,CostCenterKey
10,Board Of Commissioners,1000,Board Of Commissioners,Betty Lou Ward,10_1000_Betty Lou Ward
10,Board Of Commissioners,1000,Board Of Commissioners,Board Of Commissioners,10_1000_Board Of Commissioners
10,Board Of Commissioners,1000,Board Of Commissioners,BOC - Admin,10_1000_BOC - Admin
10,Board Of Commissioners,1000,Board Of Commissioners,BOC - Commissioners,10_1000_BOC - Commissioners
10,Board Of Commissioners,1000,Board Of Commissioners,Caroline Sullivan,10_1000_Caroline Sullivan
10,Board Of Commissioners,1000,Board Of Commissioners,Ervin Portman,10_1000_Ervin Portman
10,Board Of Commissioners,1000,Board Of Commissioners,Greg Ford,10_1000_Greg Ford
10,Board Of Commissioners,1000,Board Of Commissioners,James West,10_1000_James West
10,Board Of Commissioners,1000,Board Of Commissioners,Jessica Holmes,10_1000_Jessica Holmes
10,Board Of Commissioners,1000,Board Of Commissioners,John Burns,10_1000_John Burns
10,Board Of Commissioners,1000,Board Of Commissioners,Matt Calabria,10_1000_Matt Calabria
10,Board Of Commissioners,1000,Board Of Commissioners,Sig Hutchinson,10_1000_Sig Hutchinson
10,Board Of Commissioners,1000,Board Of Commissioners,Susan Evans,10_1000_Susan Evans
10,Board Of Commissioners,1000,Board Of Commissioners,Vickie Adamson,10_1000_Vickie Adamson
11,Communications Office,1100,Communications Office,Communications Office,11_1100_Communications Office
12,County Manager,1200,County Manager,County Manager-Adm,12_1200_County Manager-Adm
12,County Manager,1203,Communications Office,CO/Volunteer Celebration,12_1203_CO/Volunteer Celebration
12,County Manager,1203,Communications Office,Communications Office,12_1203_Communications Office
12,County Manager,1203,Communications Office,PEG Channel Funding (CRC),12_1203_PEG Channel Funding (CRC)
12,County Manager,1203,Communications Office,PEG Channel Funding (GSA),12_1203_PEG Channel Funding (GSA)
12,County Manager,1203,Communications Office,PEG Channel Funding (PAO),12_1203_PEG Channel Funding (PAO)
12,County Manager,1203,Communications Office,Volunteer Celebration,12_1203_Volunteer Celebration
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Administration,13_1300_Administration
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Behavioral Health - Admin (MCO),13_1300_Behavioral Health - Admin (MCO)
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Crisis Services,13_1300_Crisis Services
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Judiciary,13_1300_Judiciary
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Recovery,13_1300_Recovery
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Residential,13_1300_Residential
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Support,13_1300_Support
13,Behavioral Health - Managed Care Organization,1300,Behavioral Health - Managed Care Organization,Treatment,13_1300_Treatment
14,County Attorney,1400,County Attorney,County Attorney,14_1400_County Attorney
16,Board Of Elections,1600,Board Of Elections,Board of Elections,16_1600_Board Of Elections
16,Board Of Elections,1600,Board Of Elections,One-Stop Voting Sites,16_1600_One-Stop Voting Sites
18,Budget and Management Services,1800,Budget,Budget And Management Services,18_1800_Budget And Management Services
20,Facilities Design & Construction,2000,Facilities Design & Construction,Facilities Design & Construction,20_2000_Facilities Design & Construction
22,Finance Department,2210,Accounting And Reporting,General Ledger,22_2210_General Ledger
22,Finance Department,2210,Accounting And Reporting,Procurement/Payment,22_2210_Procurement/Payment
22,Finance Department,2220,Risk Management,R/M Insurance - Admin/Open 7/1/07,22_2220_R/M Insurance - Admin/Open 7/1/07
22,Finance Department,2220,Risk Management,Risk Management/ Insurance,22_2220_Risk Management/ Insurance
22,Finance Department,2230,Internal Audit,Internal Audit,22_2230_Internal Audit
24,Human Resources Department,2460,Administration,Administration-HR,24_2460_Administration-HR
26,Information Services,2610,IS Administration,Information Services-Admin,26_2610_Information Services-Admin
26,Information Services,2620,Solutions Development,Application Development - IS,26_2620_Application Development - IS
26,Information Services,2620,Solutions Development,Digital Media and Design Services,26_2620_Digital Media and Design Services
26,Information Services,2620,Solutions Development,Solutions Development and Innovation,26_2620_Solutions Development and Innovation
26,Information Services,2630,Business Applications,Enterprise Support-IS,26_2630_Enterprise Support-IS
26,Information Services,2630,Business Applications,ERP-Finance/HR/Budget-IS,26_2630_ERP-Finance/HR/Budget-IS
26,Information Services,2630,Business Applications,Land Systems-IS,26_2630_Land Systems-IS
26,Information Services,2640,Technical Infrastructure,Computer Operations-IS,26_2640_Computer Operations-IS
26,Information Services,2640,Technical Infrastructure,Database Operations,26_2640_Database Operations
26,Information Services,2640,Technical Infrastructure,Network-IS,26_2640_Network-IS
26,Information Services,2640,Technical Infrastructure,Public Safety Systems-IS,26_2640_Public Safety Systems-IS
26,Information Services,2640,Technical Infrastructure,Security-IS,26_2640_Security-IS
26,Information Services,2640,Technical Infrastructure,Servers-IS,26_2640_Servers-IS
26,Information Services,2650,Customer Services,Computer Systems Administration-IS,26_2650_Computer Systems Administration-IS
26,Information Services,2650,Customer Services,Desktop Support-IS,26_2650_Desktop Support-IS
26,Information Services,2650,Customer Services,"Help Desk, Move, Asset Management-IS","26_2650_Help Desk, Move, Asset Management-IS"
26,Information Services,2650,Customer Services,Telecom-IS,26_2650_Telecom-IS
26,Information Services,2660,Human Services Systems,IS - Public Health,26_2660_IS - Public Health
26,Information Services,2660,Human Services Systems,IS - Social Services,26_2660_IS - Social Services
30,Register Of Deeds,3010,ROD Operating,ROD Operating - Statutory,30_3010_ROD Operating - Statutory
30,Register Of Deeds,3030,Rod Automation Fund,ROD Automation Fund,30_3030_ROD Automation Fund
32,Revenue Department,3200,Revenue,Revenue Tax,32_3200_Revenue Tax
32,Revenue Department,3255,Revaluation Reserve,Revaluation Reserve,32_3255_Revaluation Reserve
32,Revenue Department,3270,Vehicle Tag and Tax Fees,Vehicle Tax & Tag Fees,32_3270_Vehicle Tax & Tag Fees
33,Quasi-Governmental,3310,Soil & Water Conservation District,Soil & Water Conservation District,33_3310_Soil & Water Conservation District
33,Quasi-Governmental,3320,Cooperative Extension,Cooperative Extension,33_3320_Cooperative Extension
34,Non Departmental,3410,Public Agencies,Public Agencies,34_3410_Public Agencies
34,Non Departmental,3420,Memberships,Memberships,34_3420_Memberships
34,Non Departmental,3430,Non-Departmental,1099 Corrections,34_3430_1099 Corrections
34,Non Departmental,3430,Non-Departmental,Blue Ribbon Committee,34_3430_Blue Ribbon Committee
34,Non Departmental,3430,Non-Departmental,Central Contracted Services,34_3430_Central Contracted Services
34,Non Departmental,3430,Non-Departmental,Chamber of Commerce,34_3430_Chamber of Commerce
34,Non Departmental,3430,Non-Departmental,Co. Mgr. Contingency,34_3430_Co. Mgr. Contingency
34,Non Departmental,3430,Non-Departmental,Cooperative Extension,34_3430_Cooperative Extension
34,Non Departmental,3430,Non-Departmental,County-Wide/Major Contracts,34_3430_County-Wide/Major Contracts
34,Non Departmental,3430,Non-Departmental,Farmland/Local Food Enhancement Grant,34_3430_Farmland/Local Food Enhancement Grant
34,Non Departmental,3430,Non-Departmental,Historic Preservation,34_3430_Historic Preservation
34,Non Departmental,3430,Non-Departmental,Indirect Reimbursements,34_3430_Indirect Reimbursements
34,Non Departmental,3430,Non-Departmental,Jail Alternatives,34_3430_Jail Alternatives
34,Non Departmental,3430,Non-Departmental,Medical Examiner,34_3430_Medical Examiner
34,Non Departmental,3430,Non-Departmental,Non-Departmental,34_3430_Non-Departmental
34,Non Departmental,3430,Non-Departmental,October 2016 Hurricane Matthew,34_3430_October 2016 Hurricane Matthew
34,Non Departmental,3430,Non-Departmental,Salary & Benefit Reserve,34_3430_Salary & Benefit Reserve
34,Non Departmental,3430,Non-Departmental,September 2018 Hurricane Florence,34_3430_September 2018 Hurricane Florence
34,Non Departmental,3430,Non-Departmental,Soil & Water Conserv District,34_3430_Soil & Water Conserv District
34,Non Departmental,3430,Non-Departmental,SWCD - Urban Agricultural Grant,34_3430_SWCD - Urban Agricultural Grant
34,Non Departmental,3430,Non-Departmental,Transit 2014,34_3430_Transit 2014
34,Non Departmental,3430,Non-Departmental,Women's Commission,34_3430_Women's Commission
34,Non Departmental,3440,Health and Dental Plans,Dental Plan,34_3440_Dental Plan
34,Non Departmental,3440,Health and Dental Plans,Health Plan,34_3440_Health Plan
34,Non Departmental,3460,Risk Management - Cost of Claims,Risk Management - Cost of Claims,34_3460_Risk Management - Cost of Claims
35,Capital Lease,3510,Capital Lease,Capital Lease,35_3510_Capital Lease
38,Transfers,3840,Pre FY08,Transfers,38_3840_Transfers
40,Community Services,4010,Community Services  Management And Budget Office,Community Services  Management And Budget Office,40_4010_Community Services  Management And Budget Office
40,Community Services,4020,"Parks, Recreation,& Open Space","Adm Parks, Recreation & Open Space","40_4020_Adm Parks, Recreation & Open Space"
40,Community Services,4020,"Parks, Recreation,& Open Space",Blue Jay Park General Donations,40_4020_Blue Jay Park General Donations
40,Community Services,4020,"Parks, Recreation,& Open Space",BlueJay Point,40_4020_BlueJay Point
40,Community Services,4020,"Parks, Recreation,& Open Space",CAMPO Grant Triangle Bikeway Study,40_4020_CAMPO Grant Triangle Bikeway Study
40,Community Services,4020,"Parks, Recreation,& Open Space",Crowder,40_4020_Crowder
40,Community Services,4020,"Parks, Recreation,& Open Space",Harris Lake,40_4020_Harris Lake
40,Community Services,4020,"Parks, Recreation,& Open Space",Harris Lake General Donations,40_4020_Harris Lake General Donations
40,Community Services,4020,"Parks, Recreation,& Open Space",Harris Lake RTP Grant,40_4020_Harris Lake RTP Grant
40,Community Services,4020,"Parks, Recreation,& Open Space",Historic Oakview,40_4020_Historic Oakview
40,Community Services,4020,"Parks, Recreation,& Open Space",Historic Oakview Donations,40_4020_Historic Oakview Donations
40,Community Services,4020,"Parks, Recreation,& Open Space",Lake Crabtree,40_4020_Lake Crabtree
40,Community Services,4020,"Parks, Recreation,& Open Space",Lake Crabtree General Donations,40_4020_Lake Crabtree General Donations
40,Community Services,4020,"Parks, Recreation,& Open Space",NCDENR,40_4020_NCDENR
40,Community Services,4020,"Parks, Recreation,& Open Space",NW Landfill Park,40_4020_NW Landfill Park
40,Community Services,4020,"Parks, Recreation,& Open Space",Open Space-Parks,40_4020_Open Space-Parks
40,Community Services,4020,"Parks, Recreation,& Open Space",Parks - Unallocated Grants,40_4020_Parks - Unallocated Grants
