Obj_Type_Code,Obj_Type_Name,Obj_Cat_Code,Expenditure_Category,Obj_Class_Code,Obj_Class_Name,Obj_Code,Expenditure_Line_Item,ExpenditureLineItemKey
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1101,REGULAR SALARIES & WAGES,1000_1100_1110_1101
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1102,SHIFT PAY,1000_1100_1110_1102
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1103,SPECIAL EVENT PAY,1000_1100_1110_1103
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1104,HOLIDAY PREMIUM,1000_1100_1110_1104
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1106,MERIT ALLOCATIONS,1000_1100_1110_1106
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1107,2 WEEK ACCRUAL SALARIES AND BEN,1000_1100_1110_1107
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1109,ESTIMATED WRITE-OFFS/PAYROLL LAG,1000_1100_1110_1109
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1116,Military Differential/Reg Salary,1000_1100_1110_1116
1000,Salary / Benefits,1100,Salary,1110,Regular Salaries,1120,EMERGENCY PREMIUM,1000_1100_1110_1120
1000,Salary / Benefits,1100,Salary,1130,Overtime Salaries,1110,Overtime Salaries,1000_1100_1130_1110
1000,Salary / Benefits,1100,Salary,1130,Overtime Salaries,1119,MERIT SPECIAL PAY ALLOCATION,1000_1100_1130_1119
1000,Salary / Benefits,1100,Salary,1140,Longevity Salaries & Wages,1111,LONGEVITY SALARIES & WAGES,1000_1100_1140_1111
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1112,IN-HOUSE TEMP PAYROLL,1000_1100_1150_1112
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1113,SALARIES & WAGES-TEMPORARY/PART-TIME,1000_1100_1150_1113
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1114,TEMPORARY POSITIONS,1000_1100_1150_1114
1000,Salary / Benefits,1100,Salary,1150,Temporary Salaries & Wages,1118,Contractual Payees - IRS,1000_1100_1150_1118
1000,Salary / Benefits,1100,Salary,1160,Vacancy Rate,1115,VACANCY RATE,1000_1100_1160_1115
1000,Salary / Benefits,1200,Fringe Benefits,1210,FICA,1201,FICA,1000_1200_1210_1201
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1203,HEALTH - UNITED HEALTHCARE,1000_1200_1220_1203
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1223,Health Insurance,1000_1200_1220_1223
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1224,Contra-Employer Share-Health,1000_1200_1220_1224
1000,Salary / Benefits,1200,Fringe Benefits,1220,Health,1226,Contra-Employee Share-Health,1000_1200_1220_1226
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1205,401(K),1000_1200_1230_1205
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1206,DEFERRED COMPENSATION,1000_1200_1230_1206
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1207,RETIREMENT-LEO,1000_1200_1230_1207
1000,Salary / Benefits,1200,Fringe Benefits,1230,Retirement,1208,RETIREMENT-LGERS,1000_1200_1230_1208
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1209,DENTAL INSURANCE,1000_1200_1240_1209
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1225,Contra-Employer Share-Dental,1000_1200_1240_1225
1000,Salary / Benefits,1200,Fringe Benefits,1240,Dental,1227,Contra-Employee Share-Dental,1000_1200_1240_1227
1000,Salary / Benefits,1200,Fringe Benefits,1250,Disability,1210,DISABILITY,1000_1200_1250_1210
1000,Salary / Benefits,1200,Fringe Benefits,1260,Law Enforcement Separation Allowance,1211,SEPARATION ALLOWANCE,1000_1200_1260_1211
1000,Salary / Benefits,1200,Fringe Benefits,1270,Life Insurance,1212,County-Paid Life Insurance,1000_1200_1270_1212
1000,Salary / Benefits,1200,Fringe Benefits,1270,Life Insurance,1213,Excess Group Term life,1000_1200_1270_1213
1000,Salary / Benefits,1200,Fringe Benefits,1280,Unemployment,1214,UNEMPLOYMENT COMPENSATION,1000_1200_1280_1214
1000,Salary / Benefits,1200,Fringe Benefits,1290,Other Fringe Benefits,1216,EMPLOYEE PARKING,1000_1200_1290_1216
