area_code,area_name,period_date,year,value
0100,Northeast,1997-01-01,1997,157.70
0100,Northeast,1997-02-01,1997,158.10
0100,Northeast,1997-03-01,1997,158.60
0100,Northeast,1997-04-01,1997,158.60
0100,Northeast,1997-05-01,1997,158.90
0100,Northeast,1997-06-01,1997,159.30
0100,Northeast,1997-07-01,1997,160.00
0100,Northeast,1997-08-01,1997,160.10
0100,Northeast,1997-09-01,1997,160.60
0100,Northeast,1997-10-01,1997,160.80
0100,Northeast,1997-11-01,1997,161.30
0100,Northeast,1997-12-01,1997,161.40
0100,Northeast,1998-01-01,1998,161.70
0100,Northeast,1998-02-01,1998,162.10
0100,Northeast,1998-03-01,1998,162.50
0100,Northeast,1998-04-01,1998,162.60
0100,Northeast,1998-05-01,1998,163.30
0100,Northeast,1998-06-01,1998,163.00
0100,Northeast,1998-07-01,1998,163.60
0100,Northeast,1998-08-01,1998,163.80
0100,Northeast,1998-09-01,1998,164.60
0100,Northeast,1998-10-01,1998,164.80
0100,Northeast,1998-11-01,1998,165.40
0100,Northeast,1998-12-01,1998,165.70
0100,Northeast,1999-01-01,1999,166.60
0100,Northeast,1999-02-01,1999,166.40
0100,Northeast,1999-03-01,1999,166.90
0100,Northeast,1999-04-01,1999,167.40
0100,Northeast,1999-05-01,1999,167.80
0100,Northeast,1999-06-01,1999,168.10
0100,Northeast,1999-07-01,1999,168.60
0100,Northeast,1999-08-01,1999,169.20
0100,Northeast,1999-09-01,1999,169.20
0100,Northeast,1999-10-01,1999,169.50
0100,Northeast,1999-11-01,1999,169.70
0100,Northeast,1999-12-01,1999,169.90
0100,Northeast,2000-01-01,2000,170.20
0100,Northeast,2000-02-01,2000,170.40
0100,Northeast,2000-03-01,2000,170.70
0100,Northeast,2000-04-01,2000,171.20
0100,Northeast,2000-05-01,2000,171.60
0100,Northeast,2000-06-01,2000,171.50
0100,Northeast,2000-07-01,2000,171.60
0100,Northeast,2000-08-01,2000,171.90
0100,Northeast,2000-09-01,2000,173.00
0100,Northeast,2000-10-01,2000,173.00
0100,Northeast,2000-11-01,2000,173.40
0100,Northeast,2000-12-01,2000,173.70
0100,Northeast,2001-01-01,2001,174.30
0100,Northeast,2001-02-01,2001,174.20
0100,Northeast,2001-03-01,2001,175.40
0100,Northeast,2001-04-01,2001,176.10
0100,Northeast,2001-05-01,2001,176.40
0100,Northeast,2001-06-01,2001,177.00
0100,Northeast,2001-07-01,2001,177.60
0100,Northeast,2001-08-01,2001,178.10
0100,Northeast,2001-09-01,2001,178.10
0100,Northeast,2001-10-01,2001,178.50
0100,Northeast,2001-11-01,2001,178.80
0100,Northeast,2001-12-01,2001,179.10
0100,Northeast,2002-01-01,2002,179.60
0100,Northeast,2002-02-01,2002,179.90
0100,Northeast,2002-03-01,2002,179.90
0100,Northeast,2002-04-01,2002,180.50
0100,Northeast,2002-05-01,2002,180.50
0100,Northeast,2002-06-01,2002,181.00
0100,Northeast,2002-07-01,2002,181.30
0100,Northeast,2002-08-01,2002,182.20
0100,Northeast,2002-09-01,2002,182.80
0100,Northeast,2002-10-01,2002,182.90
0100,Northeast,2002-11-01,2002,183.20
0100,Northeast,2002-12-01,2002,183.40
0100,Northeast,2003-01-01,2003,182.60
0100,Northeast,2003-02-01,2003,184.30
0100,Northeast,2003-03-01,2003,184.70
0100,Northeast,2003-04-01,2003,184.50
0100,Northeast,2003-05-01,2003,184.60
0100,Northeast,2003-06-01,2003,185.10
0100,Northeast,2003-07-01,2003,185.60
0100,Northeast,2003-08-01,2003,185.80
0100,Northeast,2003-09-01,2003,185.80
0100,Northeast,2003-10-01,2003,185.90
0100,Northeast,2003-11-01,2003,186.50
0100,Northeast,2003-12-01,2003,187.20
0100,Northeast,2004-01-01,2004,187.80
0100,Northeast,2004-02-01,2004,188.30
0100,Northeast,2004-03-01,2004,188.70
0100,Northeast,2004-04-01,2004,189.00
0100,Northeast,2004-05-01,2004,189.40
0100,Northeast,2004-06-01,2004,189.80
0100,Northeast,2004-07-01,2004,190.30
0100,Northeast,2004-08-01,2004,190.80
0100,Northeast,2004-09-01,2004,191.20
0100,Northeast,2004-10-01,2004,191.70
0100,Northeast,2004-11-01,2004,192.40
0100,Northeast,2004-12-01,2004,192.50
0100,Northeast,2005-01-01,2005,193.50
0100,Northeast,2005-02-01,2005,193.90
0100,Northeast,2005-03-01,2005,194.20
0100,Northeast,2005-04-01,2005,194.70
0100,Northeast,2005-05-01,2005,194.80
0100,Northeast,2005-06-01,2005,195.40
0100,Northeast,2005-07-01,2005,195.80
0100,Northeast,2005-08-01,2005,196.20
0100,Northeast,2005-09-01,2005,196.40
0100,Northeast,2005-10-01,2005,197.50
0100,Northeast,2005-11-01,2005,197.40
0100,Northeast,2005-12-01,2005,197.90
0100,Northeast,2006-01-01,2006,199.00
0100,Northeast,2006-02-01,2006,199.60
0100,Northeast,2006-03-01,2006,200.40
0100,Northeast,2006-04-01,2006,200.50
0100,Northeast,2006-05-01,2006,201.50
0100,Northeast,2006-06-01,2006,202.40
0100,Northeast,2006-07-01,2006,203.20
0100,Northeast,2006-08-01,2006,204.10
0100,Northeast,2006-09-01,2006,204.10
0100,Northeast,2006-10-01,2006,205.30
0100,Northeast,2006-11-01,2006,205.60
0100,Northeast,2006-12-01,2006,206.30
0100,Northeast,2007-01-01,2007,207.10
0100,Northeast,2007-02-01,2007,207.70
0100,Northeast,2007-03-01,2007,208.09
0100,Northeast,2007-04-01,2007,209.11
0100,Northeast,2007-05-01,2007,209.54
0100,Northeast,2007-06-01,2007,210.68
0100,Northeast,2007-07-01,2007,212.36
0100,Northeast,2007-08-01,2007,213.17
0100,Northeast,2007-09-01,2007,213.52
0100,Northeast,2007-10-01,2007,214.07
0100,Northeast,2007-11-01,2007,214.78
0100,Northeast,2007-12-01,2007,214.93
0100,Northeast,2008-01-01,2008,215.82
0100,Northeast,2008-02-01,2008,216.77
0100,Northeast,2008-03-01,2008,217.42
0100,Northeast,2008-04-01,2008,218.25
0100,Northeast,2008-05-01,2008,219.11
0100,Northeast,2008-06-01,2008,219.70
0100,Northeast,2008-07-01,2008,221.07
0100,Northeast,2008-08-01,2008,221.49
0100,Northeast,2008-09-01,2008,223.35
0100,Northeast,2008-10-01,2008,224.64
0100,Northeast,2008-11-01,2008,225.40
0100,Northeast,2008-12-01,2008,225.87
0100,Northeast,2009-01-01,2009,225.96
0100,Northeast,2009-02-01,2009,226.81
0100,Northeast,2009-03-01,2009,227.00
0100,Northeast,2009-04-01,2009,227.76
0100,Northeast,2009-05-01,2009,227.95
0100,Northeast,2009-06-01,2009,228.24
0100,Northeast,2009-07-01,2009,228.25
0100,Northeast,2009-08-01,2009,228.54
0100,Northeast,2009-09-01,2009,229.16
0100,Northeast,2009-10-01,2009,229.46
0100,Northeast,2009-11-01,2009,229.98
0100,Northeast,2009-12-01,2009,230.03
0100,Northeast,2010-01-01,2010,230.32
0100,Northeast,2010-02-01,2010,230.58
0100,Northeast,2010-03-01,2010,230.73
0100,Northeast,2010-04-01,2010,230.69
0100,Northeast,2010-05-01,2010,230.95
0100,Northeast,2010-06-01,2010,231.66
0100,Northeast,2010-07-01,2010,231.88
0100,Northeast,2010-08-01,2010,232.28
